doc	page	dLeft	dBottom	dRight	dTop	refW	refH	oH	oV	rH	rV
001_advanced_powerpoint_bar__pptx	1	+0.34	-0.12	-2.88	-0.05	491.5	320.4	0	10	0	10
002_advanced_powerpoint_column__pptx	1	+0.41	-0.12	-2.73	+0.00	496.9	314.7	10	0	10	0
003_advanced_powerpoint_line__pptx	1	+0.41	-0.12	-9.66	+0.00	480.2	314.7	10	0	10	0
006_advanced_powerpoint_area__pptx	1	+0.41	-0.12	-9.68	+0.00	496.9	314.7	10	0	10	0
009_advanced_powerpoint_bar__pptx	1	+0.34	-0.12	-2.88	-0.05	491.5	320.4	0	10	0	10
010605Vul__ppt	7	+0.04	-0.02	+0.01	-0.04	666.0	210.0	8	8	8	8
010605Vul__ppt	9	+0.00	+0.04	-0.03	+0.03	353.0	318.6	4	12	4	12
010605Vul__ppt	10	+0.04	+0.04	-0.06	+0.02	666.3	364.9	6	6	6	6
010_advanced_powerpoint_column__pptx	1	+0.41	-0.12	-2.73	+0.00	496.9	314.7	10	0	10	0
011_advanced_powerpoint_line__pptx	1	+0.41	-0.12	-9.66	+0.00	480.2	314.7	10	0	10	0
014_advanced_powerpoint_area__pptx	1	+0.41	-0.12	-9.68	+0.00	496.9	314.7	10	0	10	0
017_advanced_powerpoint_bar__pptx	1	+0.34	-0.12	-2.88	-0.05	491.5	320.4	0	10	0	10
018_advanced_powerpoint_column__pptx	1	+0.41	-0.12	-2.73	+0.00	496.9	314.7	10	0	10	0
019_advanced_powerpoint_line__pptx	1	+0.41	-0.12	-9.66	+0.00	480.2	314.7	10	0	10	0
022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e__pptx	1	-0.01	-0.01	+0.01	-0.02	478.0	198.7	0	6	0	6
022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e__pptx	2	-0.01	-0.01	+0.01	-0.02	478.0	198.7	0	6	0	6
022_advanced_powerpoint_area__pptx	1	+0.41	-0.12	-9.68	+0.00	496.9	314.7	10	0	10	0
025_advanced_powerpoint_bar__pptx	1	+0.34	-0.12	-2.88	-0.05	491.5	320.4	0	10	0	10
026_advanced_powerpoint_column__pptx	1	+0.41	-0.12	-2.73	+0.00	496.9	314.7	10	0	10	0
027_advanced_powerpoint_line__pptx	1	+0.41	-0.12	-9.66	+0.00	480.2	314.7	10	0	10	0
02_REDAC_New ATM briefing _March 2017v2__pptx	6	+366.53	+164.08	-11.44	+0.02	720.0	228.4	0	7	0	9
030_advanced_powerpoint_area__pptx	1	+0.41	-0.12	-9.68	+0.00	496.9	314.7	10	0	10	0
032_BCG_Growth-Share_Matrix_560d0485__pptx	1	+0.01	-0.07	+0.01	-0.02	711.3	237.8	48	24	48	24
032_BCG_Growth-Share_Matrix_560d0485__pptx	2	+0.01	-0.07	+0.01	-0.02	711.3	237.8	48	24	48	24
033_advanced_powerpoint_bar__pptx	1	+0.34	-0.12	-2.88	-0.05	491.5	320.4	0	10	0	10
062_Four-Step_Growth_Staircase_8a3ef338__pptx	1	+13.89	-0.01	-0.01	-0.04	608.7	308.2	8	4	8	8
062_Four-Step_Growth_Staircase_8a3ef338__pptx	2	+13.89	-0.01	-0.01	-0.04	608.7	308.2	8	4	8	8
064_Four-Step_Success_Cycle_30c0a917__pptx	1	+0.03	-0.04	+0.05	-0.02	586.3	1.1	4	0	4	0
064_Four-Step_Success_Cycle_30c0a917__pptx	2	+0.03	-0.04	+0.05	-0.02	586.3	1.1	4	0	4	0
078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a__pptx	1	+0.02	-0.02	+0.00	+0.01	379.8	263.8	20	0	20	0
078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a__pptx	2	+0.02	-0.02	+0.00	+0.01	379.8	263.8	20	0	20	0
096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5__pptx	1	+0.04	+0.02	-0.02	+0.00	266.6	163.8	0	4	0	4
096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5__pptx	2	+0.04	+0.02	-0.02	+0.00	266.6	163.8	0	4	0	4
098_Leaning_Cards_Process_dadb3738__pptx	1	+17.62	-0.01	-17.60	-0.03	124.0	251.5	4	0	4	4
098_Leaning_Cards_Process_dadb3738__pptx	2	+17.62	-0.01	-17.60	-0.03	124.0	251.5	4	0	4	4
10. Drawings, circuit diagrams and schematics__pptx	18	+0.00	+0.14	+0.03	+0.00	648.8	281.3	7	0	7	0
1200-Assigning-Club-officers__pptx	7	+0.03	-0.05	+0.02	-0.02	658.0	411.9	12	22	12	22
1200-Assigning-Club-officers__pptx	8	+0.00	-0.05	+0.02	-0.02	348.0	411.9	12	12	12	12
16 - UTM - (NASA)__pptx	5	+0.03	-0.04	+0.04	+98.50	926.5	314.2	6	0	6	0
16 - UTM - (NASA)__pptx	12	+0.02	-0.02	+0.01	+163.90	499.9	152.5	4	0	4	0
16 - UTM - (NASA)__pptx	16	-0.01	-0.01	+0.01	-0.01	387.7	433.6	4	0	4	0
16 - UTM - (NASA)__pptx	18	-0.00	-0.06	+0.02	+21.98	150.7	336.6	12	0	12	0
16 - UTM - (NASA)__pptx	19	-0.01	-0.05	+0.03	-0.04	466.0	334.7	4	4	6	4
16 - UTM - (NASA)__pptx	22	+0.03	-0.05	+0.05	+29.02	638.8	243.1	10	0	10	0
16 - UTM - (NASA)__pptx	23	+0.02	-0.04	+0.05	+0.01	905.6	143.6	6	6	6	6
16 - UTM - (NASA)__pptx	24	+1.50	-0.05	-1.45	-1.51	228.8	121.9	4	4	4	4
16 - UTM - (NASA)__pptx	26	-0.01	-0.05	+0.01	-0.03	892.0	162.7	4	4	4	4
16 - UTM - (NASA)__pptx	27	+0.02	-0.05	+0.04	-0.04	465.8	173.1	4	4	4	4
16 - UTM - (NASA)__pptx	35	+0.03	-0.04	+0.04	+98.50	926.5	314.2	6	0	6	0
