# pages ours=26 ref=26
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	31	31	0	31	31	199	199	0	0	1	1		
2	36	36	0	47	47	263	263	0	0	11	11		
3	65	65	0	65	65	343	343	0	0	6	6		
4	63	63	0	77	77	406	406	0	0	14	14		
5	9	9	0	9	9	69	69	0	0	0	0		
6	67	18	49	70	20	217	98	119	0	5	3	-00000000000111111111111111111111111112223333334445555555556	
7	17	17	0	17	17	101	101	0	0	0	0		
8	52	52	0	57	57	327	327	0	0	6	6		
9	45	45	0	45	45	235	235	0	0	1	1		
10	25	25	0	25	25	191	191	0	0	0	0		
11	43	43	0	47	47	264	264	0	0	7	7		
12	49	49	0	53	53	313	313	0	0	6	6		
13	57	57	0	60	60	310	310	0	0	6	6		
14	55	55	0	61	61	317	317	0	0	7	7		
15	78	78	0	86	86	455	455	0	0	10	10		
16	60	60	0	69	69	357	357	0	0	10	10		
17	33	31	2	35	33	240	240	0	0	2	2		
18	12	12	0	13	13	92	92	0	0	1	1		
19	14	14	0	14	14	96	96	0	0	0	0		
20	56	56	0	61	61	330	330	0	0	5	5		
21	33	33	0	41	41	228	228	0	0	8	8		
22	76	74	2	78	76	345	345	0	0	3	3		
23	26	26	0	31	31	244	244	0	0	5	5		
24	51	51	0	53	53	354	354	0	0	2	2		
25	36	43	-7	43	43	284	291	7	14	8	1	•••••••	.......1234567
26	46	46	0	46	46	321	321	0	0	0	0		
# TOTAL gate ours=1135 ref=1089 delta=46
# TOTAL chars ours=6901 ref=6789 delta=112
# chars ours-only=119 ref-only=7
# ours-only: 9x28 1x25 0x11 5x8 •x7 7x6 3x5 Ax3 Ex3 Rx3 8x3 Tx2 Cx2 2x2 4x2 Px1 Dx1 -x1 Gx1 Ix1 Nx1 Kx1 Hx1 6x1 
# ref-only : .x7 
