# pages ours=30 ref=30
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	22	22	0	22	22	147	147	0	0	0	0		
2	38	38	0	38	38	244	244	0	0	6	6		
3	158	158	0	159	159	1019	1019	0	0	3	3		
4	62	62	0	66	66	405	405	0	0	4	4		
5	180	180	0	181	181	1073	1073	0	0	0	0		
6	159	159	0	165	165	855	855	1	1	18	18	8	7
7	253	93	160	276	100	1611	549	1070	8	38	11	&&&())------------------////////////////////////////////////	EEEEIIqq
8	687	687	0	703	703	4443	4443	0	0	34	34		
9	234	234	0	251	251	1607	1607	0	0	25	25		
10	114	114	0	114	114	650	650	0	0	5	5		
11	284	284	0	284	284	1480	1479	1	0	9	9	-	
12	63	63	0	65	65	351	351	0	0	3	3		
13	22	22	0	22	22	114	114	0	0	0	0		
14	107	107	0	116	116	632	632	0	0	9	9		
15	282	282	0	287	287	1588	1588	0	0	16	16		
16	239	239	0	241	241	1351	1351	0	0	12	12		
17	143	143	0	146	146	767	767	0	0	8	8		
18	215	215	0	225	225	1285	1285	0	0	16	16		
19	310	310	0	327	327	1673	1673	0	0	28	28		
20	110	110	0	113	113	619	619	0	0	6	6		
21	281	281	0	301	301	1551	1552	0	1	32	32		-
22	147	147	0	150	150	755	755	0	0	6	6		
23	227	227	0	230	230	1246	1246	0	0	9	9		
24	154	154	0	162	162	814	814	0	0	8	8		
25	219	220	-1	219	220	1167	1167	0	0	8	8		
26	44	44	0	57	57	268	268	0	0	14	14		
27	148	148	0	154	154	781	781	0	0	9	9		
28	190	190	0	192	192	1173	1173	0	0	9	9		
29	160	160	0	170	170	964	964	0	0	15	15		
30	33	33	0	33	33	194	194	0	0	0	0		
# TOTAL gate ours=5285 ref=5126 delta=159
# TOTAL chars ours=30827 ref=29765 delta=1062
# chars ours-only=1070 ref-only=8
# ours-only: 2x72 0x66 1x63 ox59 nx59 ax58 ex58 ix54 tx53 3x42 [x40 ]x40 /x37 rx33 4x26 Cx23 sx23 cx21 lx19 -x18 ux18 hx17 Mx15 mx14 6x10 
# ref-only : Ex4 qx2 Ix2 
