# pages ours=15 ref=15
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	31	31	0	32	32	186	186	0	0	1	1		
2	105	105	0	108	108	660	660	0	0	3	3		
3	88	88	0	88	88	539	539	0	0	1	1		
4	108	108	0	124	124	729	729	0	0	23	23		
5	91	91	0	91	91	601	601	0	0	9	9		
6	181	181	0	227	227	1307	1307	42	42	50	50		
7	105	105	0	120	120	617	617	0	0	22	22		
8	51	51	0	51	51	331	331	11	11	3	3		
9	97	50	47	99	50	657	255	402	0	7	6	'-1222:::::::::::::::AAAAAAACCCDDDDEEEEEEEEEEEEFHHHIIIMMMMMM	
10	279	30	249	281	30	1367	153	1214	0	24	4	&'(),,,,-.............//0011122333456688:::::AAACCCCCCCCCDDD	
11	43	43	0	43	43	228	228	2	2	4	4		
12	60	60	0	61	61	381	381	4	4	6	6		
13	78	78	0	82	82	441	441	0	0	12	12		
14	4	4	0	4	4	17	17	0	0	2	2		
15	5	5	0	5	5	28	28	0	0	2	2		
# TOTAL gate ours=1326 ref=1030 delta=296
# TOTAL chars ours=8089 ref=6473 delta=1616
# chars ours-only=1675 ref-only=59
# ours-only: ex197 ax135 tx128 rx92 ix92 _x92 nx88 ox82 sx67 mx51 cx51 lx50 x42 dx39 hx37 ux33 yx27 px26 gx25 fx24 kx24 wx20 bx20 :x20 x17 
# ref-only : x42 x17 
