# pages ours=27 ref=27
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	21	23	-2	22	24	140	140	0	0	1	4		
2	45	46	-1	55	56	255	255	0	0	10	11		
3	26	26	0	26	26	115	115	0	0	0	0		
4	87	87	0	92	92	475	475	0	0	11	11		
5	86	86	0	92	92	468	468	0	0	8	8		
6	86	86	0	90	90	526	526	0	0	6	6		
7	79	83	-4	85	89	456	456	0	0	9	13		
8	207	226	-19	216	235	930	973	0	43	20	28		-..79Taaaabceegghhikllmnnooooprrstttttuuvw”
9	90	100	-10	95	105	508	508	0	0	7	20		
10	67	72	-5	70	75	397	397	0	0	5	10		
11	82	87	-5	86	91	484	484	0	0	6	11		
12	62	67	-5	65	70	361	361	0	0	5	10		
13	76	81	-5	87	92	466	466	0	0	13	18		
14	76	79	-3	83	86	482	482	0	0	9	12		
15	76	76	0	84	84	480	480	0	0	10	10		
16	163	168	-5	174	179	925	925	0	0	17	22		
17	74	78	-4	78	82	421	421	0	0	7	11		
18	64	66	-2	70	71	377	376	1	0	8	10	-	
19	129	130	-1	136	137	699	699	0	0	10	11		
20	119	122	-3	137	140	871	883	0	12	20	21		acdeeeflprsu
21	97	101	-4	108	112	590	590	0	0	13	18		
22	73	75	-2	81	83	471	471	0	0	10	12		
23	141	146	-5	150	155	892	892	0	0	12	17		
24	162	169	-7	171	178	964	963	1	0	14	21	-	
25	91	95	-4	98	102	546	546	0	0	9	13		
26	125	128	-3	134	137	746	746	0	0	11	14		
27	71	73	-2	79	81	448	448	0	0	11	13		
# TOTAL gate ours=2475 ref=2576 delta=-101
# TOTAL chars ours=14493 ref=14546 delta=-53
# chars ours-only=1 ref-only=54
# ours-only: -x1 
# ref-only : ex5 tx5 ax5 ox4 rx3 ux3 lx3 nx2 cx2 sx2 px2 gx2 hx2 .x2 dx1 ix1 vx1 wx1 Tx1 fx1 mx1 9x1 kx1 bx1 7x1 
