# pages ours=15 ref=15
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	92	93	-1	94	95	144	144	0	0	84	82		
2	74	127	-53	74	127	413	413	0	0	3	37		
3	58	139	-81	62	148	360	360	0	0	4	62		
4	85	99	-14	88	102	489	489	0	0	5	14		
5	103	97	6	114	108	548	548	0	0	36	21		
6	182	191	-9	198	207	1097	1097	0	0	16	25		
7	41	52	-11	49	60	258	258	1	1	8	19		
8	79	101	-22	97	119	617	617	8	8	21	37		
9	2	3	-1	2	3	8	8	0	0	0	0		
10	88	208	-120	95	215	573	573	0	0	7	90		
11	81	141	-60	82	143	378	378	0	0	4	50		
12	48	58	-10	49	59	317	317	0	0	0	8		
13	82	79	3	83	80	428	428	2	2	16	9		
14	10	31	-21	10	32	59	59	0	0	0	19		
15	39	48	-9	55	64	250	250	0	0	16	19		
# TOTAL gate ours=1064 ref=1467 delta=-403
# TOTAL chars ours=5939 ref=5939 delta=0
# chars ours-only=11 ref-only=11
# ours-only: x8 x3 
# ref-only : x8 x3 
