# pages ours=51 ref=51
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	20	20	0	21	21	143	143	0	0	2	2		
2	75	75	0	88	88	495	495	0	0	15	15		
3	60	60	0	72	72	442	442	0	0	13	13		
4	58	58	0	69	69	378	378	0	0	13	13		
5	24	24	0	24	24	142	142	0	0	1	1		
6	45	45	0	69	69	460	460	0	0	25	25		
7	110	110	0	111	112	773	773	0	0	2	3		
8	73	73	0	85	85	646	646	0	0	11	11		
9	79	79	0	86	86	468	468	0	0	9	9		
10	28	28	0	29	29	226	226	0	0	3	3		
11	30	30	0	36	36	252	252	0	0	6	6		
12	25	25	0	29	29	217	217	0	0	4	4		
13	23	23	0	27	27	194	194	0	0	4	4		
14	83	83	0	92	92	741	741	0	0	9	9		
15	56	56	0	56	56	344	344	0	0	2	2		
16	55	55	0	55	55	320	320	0	0	3	3		
17	39	39	0	39	39	268	268	0	0	2	2		
18	36	36	0	38	38	169	169	0	0	16	16		
19	55	55	0	55	55	371	371	0	0	2	2		
20	42	42	0	42	42	189	189	0	0	6	6		
21	77	23	54	78	23	452	142	310	0	2	1	(),,,,-......//00000001122566::?AAAAABDDDEEEFGKLMMNSTTTTTWWW	
22	47	47	0	49	49	321	321	0	0	4	4		
23	36	36	0	38	38	187	187	0	0	16	16		
24	34	34	0	34	34	194	194	0	0	4	4		
25	28	28	0	28	28	202	202	0	0	2	2		
26	63	63	0	72	72	438	438	0	0	9	9		
27	30	30	0	43	43	205	205	0	0	13	13		
28	50	5	45	53	5	326	30	296	0	3	0	,...12:::??AAAAEFFLMMNNPSWWaaaaaaaaaaaaaaaabbbcccddddddddeee	
29	23	23	0	25	25	154	154	0	0	2	2		
30	71	71	0	71	71	488	488	0	0	0	0		
31	17	17	0	17	17	108	108	0	0	2	2		
32	20	20	0	20	20	129	129	0	0	2	2		
33	34	34	0	35	35	166	166	0	0	2	2		
34	11	11	0	11	11	84	84	0	0	0	0		
35	98	98	0	104	104	821	821	0	0	6	6		
36	19	20	-1	19	22	99	99	0	0	2	5		
37	17	19	-2	17	21	82	82	0	0	2	6		
38	6	6	0	7	7	46	46	0	0	1	1		
39	13	13	0	14	14	126	126	0	0	1	1		
40	12	12	0	13	13	129	129	0	0	1	1		
41	62	62	0	74	75	413	413	11	11	17	18	==h×ηηη	
42	9	10	-1	9	11	33	33	0	0	2	4		
43	11	12	-1	12	13	36	35	1	0	5	6	=	
44	32	4	28	34	4	212	30	182	0	0	0	(()),---.00111==>>MMPPaaaaaaacccccddddddddeeeeeeeeeeeeeeeeee	
45	43	5	38	50	5	270	24	246	0	7	0	******,,,,,,,,.000000000000000000000000011144444555555555555	
46	34	5	29	35	5	210	24	186	0	1	0	()..::::?AADEMMMNUWWaaaaaaaaaaaaaabbbccdddddddeeeeeeeeeeeeee	
47	16	9	7	17	10	113	44	69	0	4	4	:::EFNNaaaaaacceeeeeeeeffffgghhiiiiiiikkllnnnnnnnoorrrrrsstt	
48	58	58	0	62	62	402	402	0	0	6	6		
49	46	46	0	49	49	332	332	0	0	3	3		
50	23	23	0	23	23	166	166	0	0	0	0		
51	98	98	0	104	104	818	818	0	0	5	5		
# TOTAL gate ours=2154 ref=1958 delta=196
# TOTAL chars ours=15000 ref=13710 delta=1290
# chars ours-only=1301 ref-only=11
# ours-only: ex179 nx121 ix101 rx85 tx70 sx70 ax63 ux48 lx39 hx34 gx34 0x34 dx33 mx30 ox27 cx18 :x18 5x18 kx16 fx15 bx15 ,x14 .x13 Ax12 =x11 
# ref-only : x4 x3 x2 x1 x1 
