# pages ours=26 ref=26
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	14	14	0	14	14	68	68	0	0	1	1		
2	68	68	0	70	70	413	413	2	2	2	2		
3	25	25	0	25	25	149	149	4	4	0	0		
4	20	20	0	20	20	103	103	4	4	0	0		
5	56	135	-79	56	135	333	333	0	0	0	56		
6	48	177	-129	48	188	285	284	1	0	0	134	r	
7	42	42	0	42	42	279	279	4	4	1	1		
8	3	3	0	3	3	19	19	0	0	1	1		
9	6	6	0	6	6	61	61	3	3	0	0		
10	37	37	0	37	37	203	203	3	3	1	1		
11	58	58	0	63	63	372	372	5	5	5	5		
12	29	29	0	29	29	175	175	1	1	2	2		
13	28	28	0	28	28	188	188	2	2	0	0		
14	51	51	0	56	56	318	318	3	3	7	7		
15	28	28	0	29	29	219	219	3	3	1	1		
16	35	37	-2	36	40	288	307	2	21	1	3		.aceeehimmnnoprssss
17	35	35	0	35	35	192	192	1	1	1	1		
18	53	53	0	61	61	350	350	8	8	8	8		
19	22	22	0	22	22	157	157	3	3	0	0		
20	16	16	0	16	16	117	117	2	2	0	0		
21	22	22	0	22	22	148	148	2	2	0	0		
22	54	54	0	61	61	393	393	7	7	7	7		
23	55	96	-41	56	96	154	154	0	0	8	55		
24	77	352	-275	78	378	524	512	12	0	1	291	••••••••••••	
25	75	75	0	83	83	552	552	8	8	9	9		
26	35	35	0	35	35	273	273	0	0	0	0		
# TOTAL gate ours=992 ref=1518 delta=-526
# TOTAL chars ours=6333 ref=6339 delta=-6
# chars ours-only=79 ref-only=85
# ours-only: x67 •x12 
# ref-only : x67 sx4 ex3 nx2 mx2 ox1 ax1 ix1 hx1 cx1 px1 .x1 
