# pages ours=15 ref=15
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	21	23	-2	21	23	153	153	0	0	0	2		
2	30	32	-2	30	32	220	220	0	0	0	2		
3	99	102	-3	99	102	639	639	0	0	0	2		
4	53	54	-1	59	60	438	438	0	0	7	8		
5	48	51	-3	59	62	442	443	0	1	12	12		-
6	25	25	0	29	29	233	233	0	0	4	4		
7	53	53	0	53	53	252	252	0	0	0	0		
8	65	66	-1	73	75	551	552	0	1	9	10		-
9	30	31	-1	33	34	256	256	1	1	3	3		
10	41	41	0	46	46	255	255	0	0	6	6		
11	25	25	0	31	31	157	157	0	0	6	6		
12	41	41	0	48	48	269	269	0	0	7	7		
13	33	33	0	35	35	230	230	0	0	2	2		
14	36	36	0	38	38	213	213	0	0	2	2		
15	70	72	-2	76	78	448	448	0	0	6	8		
# TOTAL gate ours=670 ref=685 delta=-15
# TOTAL chars ours=4756 ref=4758 delta=-2
# chars ours-only=1 ref-only=3
# ours-only: x1 
# ref-only : -x2 x1 
