doc	pages_base	pages_after	alnum_base	alnum_after
001_Contextures_chart_sample_b089bc34__xlsx.pdf	15	15	3713	3713
002_Contextures_chart_sample_f605e7bc__xlsx.pdf	8	8	1933	1933
003_Contextures_chart_sample_9bda2719__xlsm.pdf	6	6	1381	1381
004_Contextures_chart_sample_de7c0671__xlsx.pdf	4	4	870	870
005_Contextures_chart_sample_6e279b08__xlsx.pdf	8	8	1418	1418
006_Contextures_chart_sample_afa23b53__xlsx.pdf	5	5	799	799
008_Contextures_chart_sample_7ea7a1d7__xlsx.pdf	5	5	781	781
010_Contextures_chart_sample_e6ea06a3__xlsx.pdf	6	6	1034	1034
012_Contextures_chart_sample_9900da76__xlsx.pdf	6	6	622	622
013_Contextures_chart_sample_21b98e22__xlsx.pdf	7	7	805	805
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx.pdf	10	10	4754	4754
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx.pdf	9	9	3378	3378
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d__xlsx.pdf	5	5	3695	3695
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx.pdf	2	2	941	941
023_Waterfall_Chart_Template_for_Excel_349f7689__xlsx.pdf	5	5	3661	3661
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1__xlsx.pdf	11	11	7879	7879
027_Simple_personal_cash_flow_statement_675c6584__xlsx.pdf	10	10	7949	7949
028_Budget_summary_report_4aeefd13__xlsx.pdf	4	4	3038	3038
029_Annual_budget_Use_this_template_30324a97__xlsx.pdf	2	2	943	943
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx.pdf	8	8	1565	1565
031_Business_expense_budget_f3a46278__xlsx.pdf	8	8	7699	7699
032_Business_expenses_budget_d377eaab__xlsx.pdf	4	4	4873	4873
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx.pdf	3	3	2720	2720
035_Project_plan_for_law_firms_aa2d4462__xlsx.pdf	4	4	3923	3923
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx.pdf	4	4	341	341
037_Personal_money_tracker_a57957bb__xlsx.pdf	5	5	2476	2476
038_Baby_growth_chart_bb9cd672__xlsx.pdf	2	2	553	553
039_Baby_growth_tracker_e295ae56__xlsx.pdf	2	2	583	583
040_Blood_pressure_tracker_872b6833__xlsx.pdf	1	1	727	727
041_Business_budget_ef942467__xlsx.pdf	4	4	1359	1359
042_Business_monthly_budget_4e4d092f__xlsx.pdf	4	4	1567	1567
043_Buy_a_car_vs._rideshare_ff07c7e6__xlsx.pdf	7	7	1435	1435
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx.pdf	5	5	2200	2200
045_Check_register_with_chart_4becb8a0__xlsx.pdf	1	1	736	736
046_Cost_analysis_with_Pareto_chart_7db5ef69__xlsx.pdf	1	1	629	629
047_Date_tracker_Gantt_chart_bf34f3a8__xlsx.pdf	5	5	3058	3058
048_Expense_trends_budget_18d1e8ba__xlsx.pdf	14	14	3984	3984
049_Expenses_calculator_c351f3d0__xlsx.pdf	4	4	1536	1536
050_Financial_vision_d44241e1__xlsx.pdf	1	1	400	400
052_Manufacturing_output_chart_88570318__xlsx.pdf	1	1	477	477
053_Personal_asset_inventory_5446d84b__xlsx.pdf	4	4	220	220
055_Project_timeline_with_milestones_Use_this_template_546cecc0__xlsx.pdf	2	2	934	934
056_Quarterly_sale_report_baa6bb0d__xlsx.pdf	4	4	607	607
057_Simple_balance_sheet_Use_this_template_e2d4cbb2__xlsx.pdf	3	3	2185	2185
058_Social_media_engagement_data_cfa1cb18__xlsx.pdf	1	1	476	476
059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1__xlsx.pdf	3	3	1935	1935
060_Monthly_company_budget_47b2a99a__xlsx.pdf	4	4	1659	1659
061_Regional_sales_chart_cb9eb690__xlsx.pdf	1	1	423	423
062_Run_chart_cb7476ea__xlsx.pdf	2	2	643	643
063_Sales_pipeline_aec57013__xlsx.pdf	1	1	179	179
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx.pdf	7	7	1635	1635
065_Weight_loss_tracker_ff1c89af__xlsx.pdf	2	2	340	340
079_Org_charts_visual_248d1dcf__xlsx.pdf	3	3	1828	1828
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281__xlsx.pdf	1	1	832	832
DynamicBubbleChart__xlsx.pdf	5	5	1645	1645
EASA_PRODUCT_LIST_-_ALL__xlsx.pdf	264	264	484245	484245
Keywords_Mapping_Graphs_and_Charts__xlsx.pdf	46	46	25919	25919
PC1000__xls.pdf	13	13	3745	3745
TK-Syllabus-Comparison-Document-v2__xlsx.pdf	1235	1235	1310899	1310899
microsoft_learn_multi_chart_examples__xlsx.pdf	5	5	710	710
