doc	pages_base	pages_after	alnum_base	alnum_after
001_advanced_powerpoint_bar__pptx.pdf	1	1	334	334
002_advanced_powerpoint_column__pptx.pdf	1	1	335	335
003_advanced_powerpoint_line__pptx.pdf	1	1	332	332
004_advanced_powerpoint_pie__pptx.pdf	1	1	300	300
005_advanced_powerpoint_doughnut__pptx.pdf	1	1	301	301
006_advanced_powerpoint_area__pptx.pdf	1	1	328	328
009_advanced_powerpoint_bar__pptx.pdf	1	1	339	339
010_advanced_powerpoint_column__pptx.pdf	1	1	332	332
011_advanced_powerpoint_line__pptx.pdf	1	1	328	328
012_advanced_powerpoint_pie__pptx.pdf	1	1	308	308
013_advanced_powerpoint_doughnut__pptx.pdf	1	1	297	297
014_advanced_powerpoint_area__pptx.pdf	1	1	330	330
017_advanced_powerpoint_bar__pptx.pdf	1	1	339	339
018_advanced_powerpoint_column__pptx.pdf	1	1	329	329
019_advanced_powerpoint_line__pptx.pdf	1	1	331	331
020_advanced_powerpoint_pie__pptx.pdf	1	1	300	300
021_advanced_powerpoint_doughnut__pptx.pdf	1	1	304	304
022_advanced_powerpoint_area__pptx.pdf	1	1	329	329
025_advanced_powerpoint_bar__pptx.pdf	1	1	323	323
026_advanced_powerpoint_column__pptx.pdf	1	1	332	332
027_advanced_powerpoint_line__pptx.pdf	1	1	326	326
028_advanced_powerpoint_pie__pptx.pdf	1	1	300	300
029_advanced_powerpoint_doughnut__pptx.pdf	1	1	300	300
030_advanced_powerpoint_area__pptx.pdf	1	1	327	327
031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05__pptx.pdf	3	3	1865	1865
033_advanced_powerpoint_bar__pptx.pdf	1	1	328	328
038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6__pptx.pdf	3	3	1585	1585
171128IPAP__pptx.pdf	40	40	25455	25455
1_Country-Updates_DRC_English__pptx.pdf	16	16	4281	4281
3492__pptx.pdf	22	22	6906	6906
8_P-Pavese_AIRBUS-ATB-journee-CRATB__pptx.pdf	26	26	10414	10414
Demick_JetBlue__pptx.pdf	10	10	3519	3519
FAAAIandtheArtandScienceofV&Vfinal__pptx.pdf	30	30	5868	5868
Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final__pptx.pdf	39	39	18003	18003
N2_E_Maestroni_Swarm_COP__pptx.pdf	30	30	28695	28695
RPA P4 - Advanced Material__pptx.pdf	20	20	8749	8749
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx.pdf	24	24	23961	23961
bar_chart__pptx.pdf	1	1	131	131
bitesize-writing-a-report__pptx.pdf	15	15	3791	3791
combo_bar_line_chart__pptx.pdf	1	1	219	219
flying-by-numbers-presentation__pptx.pdf	10	10	2379	2379
line_chart__pptx.pdf	1	1	113	113
scatter_chart__pptx.pdf	1	1	105	105
southern-classic-kennesaw-state-university-final__pptx.pdf	23	23	10978	10978
stacked_area_chart__pptx.pdf	1	1	174	174
stacked_bar_chart__pptx.pdf	1	1	173	173
