doc	ours_items	ref_items	ours_meanw	ref_meanw	width_ratio	hair_ours	hair_ref	ratio_ex_hair
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7__docx.pdf	74	74	0.679	0.679	1.000	0	0	1.000
001_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx.pdf	127	127	0.833	0.833	1.000	0	0	1.000
002_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx.pdf	47	47	0.739	0.739	1.000	0	0	1.000
003_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152__docx.pdf	53	53	0.745	0.745	1.000	0	0	1.000
004_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0__docx.pdf	67	67	0.679	0.679	1.000	0	0	1.000
005_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541__docx.pdf	68	68	0.287	0.287	1.000	0	0	1.000
006_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829__docx.pdf	44	45	0.807	0.800	1.009	0	0	1.009
007_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8__docx.pdf	116	116	0.795	0.795	1.000	0	0	1.000
008_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0__docx.pdf	94	94	0.782	0.782	1.000	0	0	1.000
009_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818__docx.pdf	140	142	0.577	0.600	0.962	0	0	0.962
010_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
011_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
012_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
013_Project_Timeline_Template_Blue_Background_4ea3475e__docx.pdf	65	65	0.569	0.569	1.000	0	0	1.000
013_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
014_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
015_Project_Timeline_Template_Colored_Background_6434b0e8__docx.pdf	46	46	0.685	0.685	1.000	0	0	1.000
015_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
016_Project_Timeline_Template_Complete_Guide_7d36d09c__docx.pdf	63	63	0.540	0.540	1.000	0	0	1.000
016_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000	0	0	1.000
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8__docx.pdf	12	12	2.792	2.792	1.000	0	0	1.000
