=== ref ===
   ref |     0  180  360  540  720  850  994 1130 1440 1800
    40 |     #    #    #    #    #    #    #    .    .    .
    42 |     #    #    #    #    #    #    #    .    .    .
    44 |     #    #    #    #    #    #    #    .    .    .
    46 |     #    #    #    #    #    #    #    .    .    .
    48 |     #    #    #    #    #    #    #    .    .    .
    50 |     #    #    #    #    #    .    .    .    .    .
    52 |     #    #    #    #    .    .    .    .    .    .
    54 |     #    #    .    .    .    .    .    .    .    .
    56 |     .    .    .    .    .    .    .    ?    ?    ?
    58 |     .    .    .    .    .    .    .    ?    ?    ?
    60 |     .    .    .    .    .    .    .    ?    ?    ?

=== ours ===
  ours |     0  180  360  540  720  850  994 1130 1440 1800
    40 |     #    #    #    #    #    #    #    .    .    .
    42 |     #    #    #    #    #    #    #    .    .    .
    44 |     #    #    #    #    #    #    #    .    .    .
    46 |     #    #    #    #    #    #    #    .    .    .
    48 |     #    #    #    #    #    #    .    .    .    .
    50 |     #    #    #    #    .    .    .    .    .    .
    52 |     #    #    .    .    .    .    .    .    .    .
    54 |     #    .    .    .    .    .    .    .    .    .
    56 |     .    .    .    .    .    .    .    .    .    .
    58 |     .    .    .    .    .    .    .    .    .    .
    60 |     .    .    .    .    .    .    .    .    .    .

