=== page 0 of /home/user/vis-r90/pdf/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pdf
font                               size     drawn   implied   ratio  text
BAAAAA+Carlito-Regular            32.00    76.615    79.399  1.0363  'www.'
BAAAAA+Carlito-Regular            32.00   198.675   216.564  1.0900  'presentationgo'
BAAAAA+Carlito-Regular            32.00    63.974    68.198  1.0660  '.com'
CAAAAA+LiberationSans-Bold        36.00   531.684   623.484  1.1727  'Competitive Advantage Card – '
CAAAAA+LiberationSans-Bold        36.00   253.800   294.300  1.1596  'Slide Template'
DAAAAA+Carlito-Bold               14.00   100.990   100.990  1.0000  'Customer Service'
BAAAAA+Carlito-Regular             9.01   122.284   121.878  0.9967  'Providing support and assistance '
BAAAAA+Carlito-Regular             9.01   129.630   129.071  0.9957  'before, during, and after purchase. '
BAAAAA+Carlito-Regular             9.01   108.042   107.726  0.9971  'Leads to repeat business and '
BAAAAA+Carlito-Regular             9.01    89.437    88.914  0.9942  'positive word-of-mouth.'
DAAAAA+Carlito-Bold               14.00    91.160    91.160  1.0000  'Product Quality'
EAAAAA+DejaVuSans                  9.01   100.632   100.308  0.9968  'Meeting or exceeding '
EAAAAA+DejaVuSans                  9.01   128.143   128.008  0.9989  'customer expectations with '
EAAAAA+DejaVuSans                  9.01   120.283   120.112  0.9986  'durable, reliable, and well-'
EAAAAA+DejaVuSans                  9.01   128.278   127.936  0.9973  'performing products. Builds '
EAAAAA+DejaVuSans                  9.01   122.149   120.896  0.9897  'trust and customer loyalty.'
DAAAAA+Carlito-Bold               14.00    62.999    62.775  0.9964  'Innovation'
EAAAAA+DejaVuSans                  9.01    92.511    92.321  0.9980  'Creating new ideas, '
EAAAAA+DejaVuSans                  9.01   111.530   111.368  0.9985  'products, or methods to '
EAAAAA+DejaVuSans                  9.01   123.798   123.816  1.0001  'stay ahead of competition. '
EAAAAA+DejaVuSans                  9.01   120.896   120.373  0.9957  'Drives market growth and '
EAAAAA+DejaVuSans                  9.01    90.699    89.221  0.9837  'improves efficiency.'
DAAAAA+Carlito-Bold               14.00    83.374    83.024  0.9958  'Cost Efficiency'
EAAAAA+DejaVuSans                  9.01   123.321   123.203  0.9990  'Minimizing expenses while '
EAAAAA+DejaVuSans                  9.01   123.122   121.869  0.9898  'maintaining quality. Offers '
EAAAAA+DejaVuSans                  9.01   109.718   109.718  1.0000  'competitive pricing and '
EAAAAA+DejaVuSans                  9.01    86.300    84.840  0.9831  'higher profitability.'
DAAAAA+Carlito-Bold               14.00   102.782   102.264  0.9950  'Brand Reputation'
EAAAAA+DejaVuSans                  9.01   109.069   108.574  0.9955  'Positive perception of a '
EAAAAA+DejaVuSans                  9.01   122.068   121.932  0.9989  "company's brand. Attracts "
EAAAAA+DejaVuSans                  9.01   106.654   106.473  0.9983  'and retains customers, '
EAAAAA+DejaVuSans                  9.01   118.146   117.939  0.9982  'enables premium pricing, '
EAAAAA+DejaVuSans                  9.01    76.718    76.529  0.9975  'and strengthens '
EAAAAA+DejaVuSans                  9.01   107.231   107.231  1.0000  'competitive advantage.'
DAAAAA+Carlito-Bold               11.90    12.045    12.045  1.0000  '70'
DAAAAA+Carlito-Bold               11.90    12.045    12.045  1.0000  '90'
DAAAAA+Carlito-Bold               11.90    12.045    12.045  1.0000  '30'
DAAAAA+Carlito-Bold               11.90    12.045    12.045  1.0000  '45'
DAAAAA+Carlito-Bold               11.90    12.045    12.045  1.0000  '85'
BAAAAA+Carlito-Regular            11.90    12.045    12.045  1.0000  '80'
BAAAAA+Carlito-Regular            11.90    12.045    12.045  1.0000  '75'
BAAAAA+Carlito-Regular            11.90    12.045    12.045  1.0000  '60'
BAAAAA+Carlito-Regular            11.90    12.045    12.045  1.0000  '35'
BAAAAA+Carlito-Regular            11.90    12.045    12.045  1.0000  '40'
BAAAAA+Carlito-Regular            13.90    58.133    59.078  1.0163  'Our Brand'
BAAAAA+Carlito-Regular            13.90    70.160    71.355  1.0170  'Competition'
DAAAAA+Carlito-Bold               11.99    18.106    18.094  0.9993  '+15'
DAAAAA+Carlito-Bold               11.99    18.106    18.094  0.9993  '+10'
DAAAAA+Carlito-Bold               11.99    18.106    18.094  0.9993  '+45'
DAAAAA+Carlito-Bold               11.99    15.804    15.804  1.0000  '-10'
DAAAAA+Carlito-Bold               11.99    15.804    15.804  1.0000  '-30'
