doc	ours_rules	ours_length	ref_rules	ref_length
067_Basic_invoice_Use_this_template_1d35c3e9.xlsx	0	0.0	2	180.2
095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format_b3330009.xlsx	0	0.0	25	2850.2
096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d.xlsx	0	0.0	1	67.4
098_Volunteer_Sign_Up_Sheet_Template_Simple_Layout_080a06a1.xlsx	0	0.0	24	2128.7
037_Personal_money_tracker_a57957bb.xlsx	0	0.0	4	209.6
090_Weekly_time_sheet_Use_this_template_0499cc43.xlsx	0	0.0	2	208.8
092_Volunteer_Sign_Up_Sheet_Template_Complete_Guide_31fe4d22.xlsx	0	0.0	16	1604.6
099_Volunteer_Sign_Up_Sheet_Template_Stylish_Format_c0cc35a6.xlsx	0	0.0	16	1457.7
015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	9	2306.2	9	2376.9
024_Free_Kids_Chore_Chart_Template_ad74bb34.xlsx	2	638.7	4	921.1
085_Simple_Gantt_chart_d65b8377.xlsx	2	327.7	5	828.8
079_Org_charts_visual_248d1dcf.xlsx	0	0.0	2	111.0
084_Service_invoice_Use_this_template_c92b43dc.xlsx	0	0.0	3	746.7
100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e.xlsx	0	0.0	11	794.2
097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed.xlsx	0	0.0	16	1074.8
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	2	611.3	5	1310.0
049_Expenses_calculator_c351f3d0.xlsx	0	0.0	2	124.2
059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.xlsx	2	362.9	4	838.8
048_Expense_trends_budget_18d1e8ba.xlsx	0	0.0	37	755.3
List-of-Members-August-2017.xlsx	4	450.5	10	1172.9
Travel-Cost-Estimate-Calculator.xlsx	0	0.0	3	190.3
Praktikastellen_-_chinesischsprachiger_Kulturraum.xls	52	6191.4	0	0.0
Company_Seniority_Date_Calculator.xlsx	15	4704.1	17	5102.3
PBN Matrix NAAs (V01).xlsx	5	1304.6	15	5066.1
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.xlsx	10	360.4	5	702.4
RMP 2011-2014 and Inventory.xls	0	0.0	3	572.5
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.xlsx	0	0.0	3	149.6
fm-provider-service-measures.xlsx	171	12048.3	185	38036.3
SIL_TDB648.xlsx	11	1512.9	21	2180.3
