doc	part	requires	vlines_in_fallback	choice_holds
ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	word/footer2.xml	wps	1	cNvCnPr,prstGeom:line,wsp
ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	word/footer1.xml	wps	1	cNvCnPr,prstGeom:line,wsp
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	word/footer1.xml	wps	1	cNvCnPr,prstGeom:line,wsp
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	word/footer2.xml	wps	1	cNvCnPr,prstGeom:line,wsp
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	wpg	27	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,wgp,wsp
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	wpg	2	cNvCnPr,prstGeom:line,wgp,wsp
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	wpg	42	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,prstGeom:triangle,wgp,wsp
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	wpg	14	cNvCnPr,prstGeom:ellipse,prstGeom:flowChartPreparation,prstGeom:line,prstGeom:rect,prstGeom:straightConnector1,wgp,wsp
053_Organogram_Template_Creative_Theme_21657a3d.docx	word/document.xml	wpg	6	cNvCnPr,prstGeom:line,prstGeom:rect,prstGeom:round2DiagRect,prstGeom:straightConnector1,wgp,wsp
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8.docx	word/document.xml	wpg	18	cNvCnPr,prstGeom:line,prstGeom:rect,wgp,wsp
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	word/document.xml	wpg	2	cNvCnPr,prstGeom:line,wgp,wsp
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	word/document.xml	wpg	2	cNvCnPr,prstGeom:line,wgp,wsp
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	word/document.xml	wpg	3	cNvCnPr,prstGeom:line,wgp,wsp
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	word/document.xml	wpg	43	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,prstGeom:triangle,wgp,wsp
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
