path	ext	verdict	pages	first_page	of	ink	dominant	gdelta	only_ours	only_ref	blank_ref	counts	text
words/batch-001/doc/FAA-2013-0422-0009_attachment_1.doc	doc	match	7/7		7	0.00		0	0	0	0		ALERT OPERATORS TRANSMISSION - ALERT OPERATORS TRANSMISSION SUBJECT: ATA 27 - Wing Tip Bra
words/batch-001/doc/GLACIERBG.ETT.doc	doc	match	1/1		1	0.00		0	0	0	0		BACKGROUNDER The Global Aerospace Centre for Icing and Environmental Research (GLACIER) fa
words/batch-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	doc	match	1/1		1	0.00		0	0	0	0		A.KYLLÖNEN Oy MATKA-KYLLÖNEN Oy AIKATAULUTIEDOTE TIMETABLE INFORMATION ___________________
words/batch-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	doc	match	2/2		2	0.00		0	0	0	0		Advertisement of a draft determination: Airbus Operations Limited. Application number: EPR
words/batch-001/doc/foca_form_1.doc	doc	match	3/3		3	0.00		0	0	0	0		1. Approving Competent Authority/Country Federal Office of Civil Aviation / Switzerland 2.
words/batch-001/docx/CMTA_Airport_Transportation.docx	docx	match	1/1		1	0.00		0	0	0	0		CMTA Airport Transportation Information We look forward to welcoming you to the upcoming c
words/batch-001/docx/Pre-Application_Letter_of_Intent_Example.docx	docx	match	1/1		1	0.00		0	0	0	0		The Training Center Certification Process Version: 3.00 Pre-Application Letter of Intent E
words/batch-001/docx/Sample_PAO-PSO_91-113_Letter.docx	docx	match	1/1		1	0.00		0	0	0	0		Use the Organization’s Official Letterhead Name of Organization Address 1 Address 2 City, 
words/batch-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	docx	match	1/1		1	0.00		0	0	0	0		GO-DEVIL MANUFACTURING CO. OF LOUISIANA, L.L.C. 18649 Womack Road  Baton Rouge, La 70817
words/batch-001/docx/private-hire-operators-licensed.docx	docx	match	2/2		2	0.00		0	0	0	0		PH Company name Glos Cars Moonlight Taxi Operator Number PHO012 PHO022 Date Issued 10-May-
words/batch-002/doc/Bull01-06-Reserve Training Standards.doc	doc	match	6/6		6	0.00		0	0	0	0		March 26, 2001 BULLETIN: 01-06 SUBJECT: AMENDMENTS TO COMMISSION REGULATION 1007 AND COMMI
words/batch-002/doc/FMRBullletinB-28.doc	doc	match	2/2		2	0.00		0	0	0	0		GENERAL SERVICES ADMINISTRATION Washington, DC 20417 May 26, 2011 GSA BULLETIN FMR B-28 MO
words/batch-002/doc/prison-population-bulletin-june.doc	doc	match	4/4		4	0.00		0	0	0	0		Monthly Bulletin - June 2011 Report Date: 24/06/2011 Prison Name Page 1 Baseline CNA In Us
words/batch-002/docx/AUWG min 4-3-24 final.docx	docx	match	2/2		2	0.00		0	0	0	0		Attachment Life Insurance and Annuities (A) Committee 8/--/23 Draft: 4/8/24 Accelerated Un
words/batch-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	docx	match	2/2		2	0.00		0	0	0	0		TECHNICAL REPORT DOCUMENTATION PAGE General instructions: To add text, click inside the fo
