
# 0 of 200 documents emit a sheet the reference does not
verdict	same	ours	ref	document
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-001/doc/FAA-2013-0422-0009_attachment_1.doc
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-001/doc/GLACIERBG.ETT.doc
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc
match	same	[(841.9, 595.3)]	[(841.89, 595.3)]	words/batch-001/doc/foca_form_1.doc
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-001/docx/CMTA_Airport_Transportation.docx
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-001/docx/Pre-Application_Letter_of_Intent_Example.docx
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-001/docx/Sample_PAO-PSO_91-113_Letter.docx
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-001/docx/private-hire-operators-licensed.docx
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-002/doc/Bull01-06-Reserve Training Standards.doc
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-002/doc/FMRBullletinB-28.doc
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-002/doc/prison-population-bulletin-june.doc
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-002/docx/AUWG min 4-3-24 final.docx
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-002/docx/FAA-High-Level-Org-Chart.docx
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-002/docx/Interview-mit-Manfred1-Müller.docx
match	same	[(841.9, 595.3)]	[(841.89, 595.3)]	words/batch-002/docx/easa-form-1.docx
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-002/docx/lk03_17.docx
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-002/docx/s33song-beverlyactproductionofdocuments.docx
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-003/doc/10795.doc
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-003/doc/96-3-clement-data.doc
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-003/doc/DEP2008-1900.doc
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-003/doc/II.1.2_Hypoxia.doc
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-003/doc/Temp16.doc
match	same	[(595.3, 841.9)]	[(595.3, 841.89)]	words/batch-003/docx/191216_Lesefassung_Nachtflugregelung.docx
match	same	[(612.0, 792.0)]	[(612.0, 792.0)]	words/batch-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx
