identity	ext	path	npages	ref_bridges	ref_bridge_pt	ref_bridge_pages	ours_bridges	ours_bridge_pt	ours_bridge_pages	worst_page
237287_0486190101_0486190101_geolink2neu__doc	doc	words/done-009/doc/237287_0486190101_0486190101_geolink2neu.doc	8	0	0	0	8	869	8	0
195584360__docx	docx	words/done-010/docx/195584360.docx	20	1	92	1	0	0	0	9
exhibit-06---technical-architecture-template__docx	docx	words/done-014/docx/exhibit-06---technical-architecture-template.docx	8	4	1340	1	0	0	0	4
RobertQ_Service__doc	doc	words/done-004/doc/RobertQ_Service.doc	4	3	208	1	0	0	0	2
150_5335_5a__doc	doc	words/done-016/doc/150_5335_5a.doc	64	5	663	5	4	602	4	39
1_tpr_template__from_fy14___docx	docx	words/done-014/docx/1_tpr_template__from_fy14_.docx	8	4	126	1	3	82	1	8
review-welsh-government-communications-mister-peter-mandelson__docx	docx	words/metrics-001/docx/review-welsh-government-communications-mister-peter-mandelson.docx	14	9	1511	8	0	0	0	10
150-5370-10H__docx	docx	words/pagination-003/docx/150-5370-10H.docx	727	725	252098	725	0	0	0	2
ESPN-R - MCF - RA - Ed1__docx	docx	words/pagination-001/docx/ESPN-R - MCF - RA - Ed1.docx	58	0	0	0	9	666	8	0
AC-150-5370-10G-updated-201604__docx	docx	words/done-016/docx/AC-150-5370-10G-updated-201604.docx	696	695	245142	695	0	0	0	2
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	docx	words/done-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	15	1	14	1	1	123	1	3
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	docx	words/extra-001/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	29	0	0	0	1	90	1	0
template---tpr-technical-progress-report-with-guidance__docx	docx	words/pagination-001/docx/template---tpr-technical-progress-report-with-guidance.docx	7	2	54	1	1	21	1	6
