identity	verdict
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7__docx	same
001_advanced_word_chart_report__docx	same
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx	same
002_advanced_word_chart_report__docx	same
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx	same
003__doc	same
003_advanced_word_chart_report__docx	same
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152__docx	same
004_advanced_word_chart_report__docx	same
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0__docx	same
005_advanced_word_chart_report__docx	same
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541__docx	same
006_advanced_word_chart_report__docx	same
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829__docx	same
007_advanced_word_chart_report__docx	same
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8__docx	same
008_advanced_word_chart_report__docx	same
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0__docx	same
009_advanced_word_chart_report__docx	same
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818__docx	same
010_advanced_word_chart_report__docx	same
011_Project_Timeline_Template_Beautiful_Theme_2336e680__docx	same
011_advanced_word_chart_report__docx	same
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550__docx	same
012_advanced_word_chart_report__docx	same
013_Project_Timeline_Template_Blue_Background_4ea3475e__docx	same
013_advanced_word_chart_report__docx	same
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1__docx	same
014_advanced_word_chart_report__docx	same
015_Project_Timeline_Template_Colored_Background_6434b0e8__docx	same
015_advanced_word_chart_report__docx	same
016_Project_Timeline_Template_Complete_Guide_7d36d09c__docx	same
016_advanced_word_chart_report__docx	same
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8__docx	same
017_advanced_word_chart_report__docx	same
018_Project_Timeline_Template_Editable_Format_e1cf1df5__docx	same
018_advanced_word_chart_report__docx	same
019_Project_Timeline_Template_Excellent_Layout_4ee62967__docx	same
019_advanced_word_chart_report__docx	same
020_Project_Timeline_Template_Modern_Theme_0c215d87__docx	same
020_advanced_word_chart_report__docx	same
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx	same
021_advanced_word_chart_report__docx	same
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275__docx	same
022_advanced_word_chart_report__docx	same
023_Unit_Circle_Chart_Circular_Percentage_790f7b75__docx	same
023_advanced_word_chart_report__docx	same
024_Unit_Circle_Chart_Colorful_Circles_7c92601e__docx	same
024_advanced_word_chart_report__docx	same
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892__docx	same
025_advanced_word_chart_report__docx	same
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1__docx	same
026_advanced_word_chart_report__docx	same
027_Unit_Circle_Chart_Graphical_Chart_5462a579__docx	same
027_advanced_word_chart_report__docx	same
028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx	same
028_advanced_word_chart_report__docx	same
029_Unit_Circle_Chart_Pie_Theme_8a922142__docx	same
029_advanced_word_chart_report__docx	same
02_mcar_part-2_and_IS_v2.10__docx	moved
030_Unit_Circle_Chart_Points_System_23b5ef07__docx	same
030_advanced_word_chart_report__docx	same
031_Venn_Diagram_Template_Blue_Theme_a9e417b8__docx	same
031_advanced_word_chart_report__docx	same
032_Venn_Diagram_Template_Brown_Theme_d5b549f0__docx	same
032_advanced_word_chart_report__docx	same
033_Venn_Diagram_Template_Colored_Theme_2aea6697__docx	same
033_advanced_word_chart_report__docx	same
034_Venn_Diagram_Template_Customizable_Format_d14642b7__docx	same
035_Venn_Diagram_Template_Editable_Format_966dff5f__docx	same
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36__docx	same
037_Venn_Diagram_Template_Four_Circle_764829a0__docx	same
038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e__docx	same
039_Venn_Diagram_Template_Simple_Format_6f82661d__docx	same
03_Technical_Report_(progress)_template__docx	moved
040_Venn_Diagram_Template_Three_Circle_80f32f5e__docx	same
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010__docx	same
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb__docx	same
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1__docx	same
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0__docx	same
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c__docx	same
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0__docx	same
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e__docx	same
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee__docx	same
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f__docx	same
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744__docx	same
051_Organogram_Template_Basic_Theme_e6464d06__docx	same
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe__docx	same
053_Organogram_Template_Creative_Theme_21657a3d__docx	same
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8__docx	same
055_Organogram_Template_Horizontal_Structure_28a7e725__docx	same
056_Organogram_Template_Square_Theme_38f373d4__docx	same
057_Organogram_Template_Vertical_Colorful_Theme_724b143c__docx	same
058_Organogram_Template_With_Picture_Theme_44b79368__docx	same
059_Disease_Concept_Map_Template_4acf63f2__docx	same
060_Human_Body_Concept_Map_Template_ac872cfb__docx	same
061_Nursing_Concept_Map_Template_fb9816f0__docx	same
062_Vocabulary_Concept_Map_Template_2f7c1c09__docx	same
063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992__docx	same
