label	face	size	kind	group	tabtwips	page	x0	x1	rx	nrules	cover	contiguous	spans
L000	Liberation Serif	8	under	span	0	1	56.69	73.58		2	22.22	0	56.69-73.58;236.69-242.03
L001	Liberation Serif	8	under	span	0	1	56.69	73.58		2	22.22	0	56.69-73.58;309.89-315.23
L002	Liberation Serif	8	under	span	0	1	56.69	73.58		2	22.22	0	56.69-73.58;382.94-388.28
L003	Liberation Serif	8	under	span	0	1	56.69	73.58		2	22.22	0	56.69-73.58;456.24-461.58
L004	Liberation Serif	8	over	span	0	1	56.69	73.58		0	0.00	0	
L005	Liberation Serif	8	over	span	0	1	56.69	73.58		0	0.00	0	
L006	Liberation Serif	8	over	span	0	1	56.69	73.58		0	0.00	0	
L007	Liberation Serif	8	over	span	0	1	56.69	73.58		0	0.00	0	
L008	Liberation Serif	8	strike	span	0	1	56.69	73.58		2	22.22	0	56.69-73.58;236.69-242.03
L009	Liberation Serif	8	strike	span	0	1	56.69	73.58		2	22.22	0	56.69-73.58;309.89-315.23
L010	Liberation Serif	8	strike	span	0	1	56.69	73.58		2	22.22	0	56.69-73.58;382.94-388.28
L011	Liberation Serif	8	strike	span	0	1	56.69	73.28		2	21.93	0	56.69-73.28;456.24-461.58
L012	Liberation Serif	10	under	span	0	1	56.69	77.80		2	27.78	0	56.69-77.80;236.69-243.36
L013	Liberation Serif	10	under	span	0	1	56.69	77.80		2	27.78	0	56.69-77.80;309.89-316.56
L014	Liberation Serif	10	under	span	0	1	56.69	77.80		2	27.78	0	56.69-77.80;382.94-389.61
L015	Liberation Serif	10	under	span	0	1	56.69	77.80		2	27.78	0	56.69-77.80;456.24-462.91
L016	Liberation Serif	10	over	span	0	1	56.69	77.80		0	0.00	0	
L017	Liberation Serif	10	over	span	0	1	56.69	77.80		0	0.00	0	
L018	Liberation Serif	10	over	span	0	1	56.69	77.80		0	0.00	0	
L019	Liberation Serif	10	over	span	0	1	56.69	77.80		0	0.00	0	
L020	Liberation Serif	10	strike	span	0	1	56.69	77.80		2	27.78	0	56.69-77.80;236.69-243.36
L021	Liberation Serif	10	strike	span	0	1	56.69	77.80		2	27.78	0	56.69-77.80;309.89-316.56
L022	Liberation Serif	10	strike	span	0	1	56.69	77.80		2	27.78	0	56.69-77.80;382.94-389.61
L023	Liberation Serif	10	strike	span	0	1	56.69	77.80		2	27.78	0	56.69-77.80;456.24-462.91
L024	Liberation Serif	14	under	span	0	1	56.69	86.25		2	38.89	0	56.69-86.24;236.69-246.03
L025	Liberation Serif	14	under	span	0	1	56.69	86.25		2	38.89	0	56.69-86.24;309.89-319.23
L026	Liberation Serif	14	under	span	0	1	56.69	86.25		2	38.89	0	56.69-86.24;382.94-392.28
L027	Liberation Serif	14	under	span	0	1	56.69	86.25		2	38.89	0	56.69-86.24;456.24-465.58
L028	Liberation Serif	14	over	span	0	1	56.69	86.25		0	0.00	0	
L029	Liberation Serif	14	over	span	0	2	56.69	86.25		0	0.00	0	
L030	Liberation Serif	14	over	span	0	2	56.69	86.25		0	0.00	0	
L031	Liberation Serif	14	over	span	0	2	56.69	86.25		0	0.00	0	
L032	Liberation Serif	14	strike	span	0	2	56.69	86.25		2	38.89	0	56.69-86.24;236.69-246.03
L033	Liberation Serif	14	strike	span	0	2	56.69	86.25		2	38.89	0	56.69-86.24;309.89-319.23
L034	Liberation Serif	14	strike	span	0	2	56.69	86.25		2	38.89	0	56.69-86.24;382.94-392.28
L035	Liberation Serif	14	strike	span	0	2	56.69	86.25		2	38.89	0	56.69-86.24;456.24-465.58
L036	Liberation Sans	8	under	span	0	2	56.69	74.48		2	23.57	0	56.69-74.49;236.69-242.47
L037	Liberation Sans	8	under	span	0	2	56.69	74.48		2	23.57	0	56.69-74.49;309.89-315.67
L038	Liberation Sans	8	under	span	0	2	56.69	74.48		2	23.57	0	56.69-74.49;382.94-388.72
L039	Liberation Sans	8	under	span	0	2	56.69	74.48		2	23.57	0	56.69-74.49;456.24-462.02
L040	Liberation Sans	8	over	span	0	2	56.69	74.48		0	0.00	0	
L041	Liberation Sans	8	over	span	0	2	56.69	74.48		0	0.00	0	
L042	Liberation Sans	8	over	span	0	2	56.69	74.48		0	0.00	0	
L043	Liberation Sans	8	over	span	0	2	56.69	74.48		0	0.00	0	
L044	Liberation Sans	8	strike	span	0	2	56.69	74.48		2	23.57	0	56.69-74.49;236.69-242.47
L045	Liberation Sans	8	strike	span	0	2	56.69	74.48		2	23.57	0	56.69-74.49;309.89-315.67
L046	Liberation Sans	8	strike	span	0	2	56.69	74.48		2	23.57	0	56.69-74.49;382.94-388.72
L047	Liberation Sans	8	strike	span	0	2	56.69	74.48		2	23.57	0	56.69-74.49;456.24-462.02
L048	Liberation Sans	10	under	span	0	2	56.69	78.93		2	29.47	0	56.69-78.94;236.69-243.91
L049	Liberation Sans	10	under	span	0	2	56.69	78.93		2	29.47	0	56.69-78.94;309.89-317.11
L050	Liberation Sans	10	under	span	0	2	56.69	78.93		2	29.47	0	56.69-78.94;382.94-390.16
L051	Liberation Sans	10	under	span	0	2	56.69	78.93		2	29.47	0	56.69-78.94;456.24-463.46
L052	Liberation Sans	10	over	span	0	2	56.69	78.93		0	0.00	0	
L053	Liberation Sans	10	over	span	0	2	56.69	78.93		0	0.00	0	
L054	Liberation Sans	10	over	span	0	2	56.69	78.93		0	0.00	0	
L055	Liberation Sans	10	over	span	0	2	56.69	78.93		0	0.00	0	
L056	Liberation Sans	10	strike	span	0	2	56.69	78.93		2	29.47	0	56.69-78.94;236.69-243.91
L057	Liberation Sans	10	strike	span	0	3	56.69	78.93		2	29.47	0	56.69-78.94;309.89-317.11
L058	Liberation Sans	10	strike	span	0	3	56.69	78.93		2	29.47	0	56.69-78.94;382.94-390.16
L059	Liberation Sans	10	strike	span	0	3	56.69	78.93		2	29.47	0	56.69-78.94;456.24-463.46
L060	Liberation Sans	14	under	span	0	3	56.69	87.83		2	41.25	0	56.69-87.84;236.69-246.80
L061	Liberation Sans	14	under	span	0	3	56.69	87.83		2	41.25	0	56.69-87.84;309.89-320.00
L062	Liberation Sans	14	under	span	0	3	56.69	87.83		2	41.25	0	56.69-87.84;382.94-393.05
L063	Liberation Sans	14	under	span	0	3	56.69	87.83		2	41.25	0	56.69-87.84;456.24-466.35
L064	Liberation Sans	14	over	span	0	3	56.69	87.83		0	0.00	0	
L065	Liberation Sans	14	over	span	0	3	56.69	87.83		0	0.00	0	
L066	Liberation Sans	14	over	span	0	3	56.69	87.83		0	0.00	0	
L067	Liberation Sans	14	over	span	0	3	56.69	87.83		0	0.00	0	
L068	Liberation Sans	14	strike	span	0	3	56.69	87.83		2	41.25	0	56.69-87.84;236.69-246.80
L069	Liberation Sans	14	strike	span	0	3	56.69	87.83		2	41.25	0	56.69-87.84;309.89-320.00
L070	Liberation Sans	14	strike	span	0	3	56.69	87.83		2	41.25	0	56.69-87.84;382.94-393.05
L071	Liberation Sans	14	strike	span	0	3	56.69	87.83		2	41.25	0	56.69-87.84;456.24-466.35
L072	Carlito	8	under	span	0	3	56.69	72.22		2	19.87	0	56.69-72.22;236.69-241.04
L073	Carlito	8	under	span	0	3	56.69	72.22		2	19.87	0	56.69-72.22;309.89-314.24
L074	Carlito	8	under	span	0	3	56.69	72.22		2	19.87	0	56.69-72.22;382.94-387.29
