label	face	size	kind	group	tabtwips	page	x0	x1	rx	nrules	cover	contiguous	spans
L000	Liberation Serif	8	under	span	0	1	56.80	73.65		1	185.30	1	56.70-242.00
L001	Liberation Serif	8	under	span	0	1	56.80	73.65		1	258.50	1	56.70-315.20
L002	Liberation Serif	8	under	span	0	1	56.80	73.65		1	331.55	1	56.70-388.25
L003	Liberation Serif	8	under	span	0	1	56.80	73.65		1	404.80	1	56.70-461.50
L004	Liberation Serif	8	over	span	0	1	56.80	242.13	242.13	1	185.30	1	56.80-242.10
L005	Liberation Serif	8	over	span	0	1	56.80	315.33	315.33	1	258.50	1	56.80-315.30
L006	Liberation Serif	8	over	span	0	1	56.80	388.38	388.38	1	331.55	1	56.80-388.35
L007	Liberation Serif	8	over	span	0	1	56.80	461.63	461.63	1	404.80	1	56.80-461.60
L008	Liberation Serif	8	strike	span	0	1	56.80	242.13	242.13	1	185.30	1	56.80-242.10
L009	Liberation Serif	8	strike	span	0	1	56.80	315.33	315.33	1	258.50	1	56.80-315.30
L010	Liberation Serif	8	strike	span	0	1	56.80	388.38	388.38	1	331.55	1	56.80-388.35
L011	Liberation Serif	8	strike	span	0	1	56.80	461.63	461.63	1	404.80	1	56.80-461.60
L012	Liberation Serif	10	under	span	0	1	56.80	77.90		1	186.60	1	56.70-243.30
L013	Liberation Serif	10	under	span	0	1	56.80	77.90		1	259.80	1	56.70-316.50
L014	Liberation Serif	10	under	span	0	1	56.80	77.90		1	332.85	1	56.70-389.55
L015	Liberation Serif	10	under	span	0	1	56.80	77.90		1	406.10	1	56.70-462.80
L016	Liberation Serif	10	over	span	0	1	56.80	243.46	243.46	1	186.60	1	56.80-243.40
L017	Liberation Serif	10	over	span	0	1	56.80	316.66	316.66	1	259.80	1	56.80-316.60
L018	Liberation Serif	10	over	span	0	1	56.80	389.71	389.71	1	332.85	1	56.80-389.65
L019	Liberation Serif	10	over	span	0	1	56.80	462.96	462.96	1	406.10	1	56.80-462.90
L020	Liberation Serif	10	strike	span	0	1	56.80	243.46	243.46	1	186.60	1	56.80-243.40
L021	Liberation Serif	10	strike	span	0	1	56.80	316.66	316.66	1	259.80	1	56.80-316.60
L022	Liberation Serif	10	strike	span	0	1	56.80	389.71	389.71	1	332.85	1	56.80-389.65
L023	Liberation Serif	10	strike	span	0	1	56.80	462.96	462.96	1	406.10	1	56.80-462.90
L024	Liberation Serif	14	under	span	0	1	56.80	86.34		1	189.30	1	56.70-246.00
L025	Liberation Serif	14	under	span	0	1	56.80	86.34		1	262.50	1	56.70-319.20
L026	Liberation Serif	14	under	span	0	1	56.80	86.34		1	335.55	1	56.70-392.25
L027	Liberation Serif	14	under	span	0	1	56.80	86.34		1	408.80	1	56.70-465.50
L028	Liberation Serif	14	over	span	0	1	56.80	246.12	246.12	1	189.30	1	56.80-246.10
L029	Liberation Serif	14	over	span	0	2	56.80	319.32	319.32	1	262.50	1	56.80-319.30
L030	Liberation Serif	14	over	span	0	2	56.80	392.37	392.37	1	335.55	1	56.80-392.35
L031	Liberation Serif	14	over	span	0	2	56.80	465.62	465.62	1	408.80	1	56.80-465.60
L032	Liberation Serif	14	strike	span	0	2	56.80	246.12	246.12	1	189.30	1	56.80-246.10
L033	Liberation Serif	14	strike	span	0	2	56.80	319.32	319.32	1	262.50	1	56.80-319.30
L034	Liberation Serif	14	strike	span	0	2	56.80	392.37	392.37	1	335.55	1	56.80-392.35
L035	Liberation Serif	14	strike	span	0	2	56.80	465.62	465.62	1	408.80	1	56.80-465.60
L036	Liberation Sans	8	under	span	0	2	56.80	74.54		1	185.70	1	56.70-242.40
L037	Liberation Sans	8	under	span	0	2	56.80	74.54		1	258.90	1	56.70-315.60
L038	Liberation Sans	8	under	span	0	2	56.80	74.54		1	331.95	1	56.70-388.65
L039	Liberation Sans	8	under	span	0	2	56.80	74.54		1	405.20	1	56.70-461.90
L040	Liberation Sans	8	over	span	0	2	56.80	242.58	242.58	1	185.70	1	56.80-242.50
L041	Liberation Sans	8	over	span	0	2	56.80	315.78	315.78	1	258.90	1	56.80-315.70
L042	Liberation Sans	8	over	span	0	2	56.80	388.83	388.83	1	331.95	1	56.80-388.75
L043	Liberation Sans	8	over	span	0	2	56.80	462.08	462.08	1	405.20	1	56.80-462.00
L044	Liberation Sans	8	strike	span	0	2	56.80	242.58	242.58	1	185.70	1	56.80-242.50
L045	Liberation Sans	8	strike	span	0	2	56.80	315.78	315.78	1	258.90	1	56.80-315.70
L046	Liberation Sans	8	strike	span	0	2	56.80	388.83	388.83	1	331.95	1	56.80-388.75
L047	Liberation Sans	8	strike	span	0	2	56.80	462.08	462.08	1	405.20	1	56.80-462.00
L048	Liberation Sans	10	under	span	0	2	56.80	79.01		1	187.20	1	56.70-243.90
L049	Liberation Sans	10	under	span	0	2	56.80	79.01		1	260.40	1	56.70-317.10
L050	Liberation Sans	10	under	span	0	2	56.80	79.01		1	333.45	1	56.70-390.15
L051	Liberation Sans	10	under	span	0	2	56.80	79.01		1	406.70	1	56.70-463.40
L052	Liberation Sans	10	over	span	0	2	56.80	244.02	244.02	1	187.20	1	56.80-244.00
L053	Liberation Sans	10	over	span	0	2	56.80	317.22	317.22	1	260.40	1	56.80-317.20
L054	Liberation Sans	10	over	span	0	2	56.80	390.27	390.27	1	333.45	1	56.80-390.25
L055	Liberation Sans	10	over	span	0	2	56.80	463.52	463.52	1	406.70	1	56.80-463.50
L056	Liberation Sans	10	strike	span	0	2	56.80	244.02	244.02	1	187.20	1	56.80-244.00
L057	Liberation Sans	10	strike	span	0	3	56.80	317.22	317.22	1	260.40	1	56.80-317.20
L058	Liberation Sans	10	strike	span	0	3	56.80	390.27	390.27	1	333.45	1	56.80-390.25
