identity	pages	ours_pt	ref_pt	delta
001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7__docx	1	1735	2552	-817
001_advanced_word_chart_report__docx	1	4090	3068	1021
002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b__docx	1	4217	5302	-1085
002_advanced_word_chart_report__docx	1	4090	3068	1021
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx	1	1620	2706	-1087
003__doc	5	308	490	-181
003_advanced_word_chart_report__docx	1	4090	3068	1021
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152__docx	1	2079	2900	-821
004_advanced_word_chart_report__docx	1	4090	3068	1021
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0__docx	1	1881	2847	-967
005_advanced_word_chart_report__docx	1	4090	3068	1021
006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541__docx	1	1740	2850	-1110
006_advanced_word_chart_report__docx	1	4090	3068	1021
007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829__docx	1	1283	2171	-887
007_advanced_word_chart_report__docx	1	4090	3068	1021
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8__docx	1	3096	4086	-990
008_advanced_word_chart_report__docx	1	4090	3068	1021
009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0__docx	1	1548	2536	-988
009_advanced_word_chart_report__docx	1	4090	3068	1021
010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818__docx	1	3454	4383	-929
010_advanced_word_chart_report__docx	1	4090	3068	1021
011_Project_Timeline_Template_Beautiful_Theme_2336e680__docx	1	236	236	0
011_advanced_word_chart_report__docx	1	4090	3068	1021
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550__docx	2	3451	4724	-1273
012_advanced_word_chart_report__docx	1	4090	3068	1021
013_Project_Timeline_Template_Blue_Background_4ea3475e__docx	1	5181	5182	-0
013_advanced_word_chart_report__docx	1	4090	3068	1021
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1__docx	1	2510	3493	-983
014_advanced_word_chart_report__docx	1	4090	3068	1021
015_Project_Timeline_Template_Colored_Background_6434b0e8__docx	2	10625	12130	-1505
015_advanced_word_chart_report__docx	1	4090	3068	1021
016_Project_Timeline_Template_Complete_Guide_7d36d09c__docx	1	6973	6972	0
016_advanced_word_chart_report__docx	1	4090	3068	1021
017_Project_Timeline_Template_Customizable_Format_5d5ca2e8__docx	1	666	666	-0
017_advanced_word_chart_report__docx	1	4090	3068	1021
018_Project_Timeline_Template_Editable_Format_e1cf1df5__docx	1	17400	17793	-393
018_advanced_word_chart_report__docx	1	4090	3068	1021
019_Project_Timeline_Template_Excellent_Layout_4ee62967__docx	1	4560	6144	-1584
019_advanced_word_chart_report__docx	1	4090	3068	1021
020_Project_Timeline_Template_Modern_Theme_0c215d87__docx	1	15569	17158	-1590
020_advanced_word_chart_report__docx	1	4090	3068	1021
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx	1	0	1189	-1189
021_advanced_word_chart_report__docx	1	4090	3068	1021
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275__docx	1	1015	1015	-0
022_advanced_word_chart_report__docx	1	4090	3068	1021
023_Unit_Circle_Chart_Circular_Percentage_790f7b75__docx	1	0	0	0
023_advanced_word_chart_report__docx	1	4090	3068	1021
024_Unit_Circle_Chart_Colorful_Circles_7c92601e__docx	1	77	1112	-1035
024_advanced_word_chart_report__docx	1	4090	3068	1021
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892__docx	1	466	466	-0
025_advanced_word_chart_report__docx	1	4090	3068	1021
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1__docx	1	497	498	-0
026_advanced_word_chart_report__docx	1	4090	3068	1021
027_Unit_Circle_Chart_Graphical_Chart_5462a579__docx	1	0	552	-552
027_advanced_word_chart_report__docx	1	4090	3068	1021
028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx	1	0	1189	-1189
028_advanced_word_chart_report__docx	1	4090	3068	1021
029_Unit_Circle_Chart_Pie_Theme_8a922142__docx	1	0	0	0
029_advanced_word_chart_report__docx	1	4090	3068	1021
02_mcar_part-2_and_IS_v2.10__docx	312	540380	458259	82121
030_Unit_Circle_Chart_Points_System_23b5ef07__docx	1	466	466	-0
030_advanced_word_chart_report__docx	1	4090	3068	1021
031_Venn_Diagram_Template_Blue_Theme_a9e417b8__docx	1	0	0	0
031_advanced_word_chart_report__docx	1	4090	3068	1021
032_Venn_Diagram_Template_Brown_Theme_d5b549f0__docx	1	0	1688	-1688
032_advanced_word_chart_report__docx	1	4090	3068	1021
033_Venn_Diagram_Template_Colored_Theme_2aea6697__docx	1	0	0	0
033_advanced_word_chart_report__docx	1	4090	3068	1021
034_Venn_Diagram_Template_Customizable_Format_d14642b7__docx	1	0	0	0
035_Venn_Diagram_Template_Editable_Format_966dff5f__docx	1	1414	1414	-0
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36__docx	1	0	0	0
037_Venn_Diagram_Template_Four_Circle_764829a0__docx	1	0	3287	-3287
038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e__docx	1	0	0	0
039_Venn_Diagram_Template_Simple_Format_6f82661d__docx	1	0	978	-978
03_Technical_Report_(progress)_template__docx	10	63768	61093	2676
040_Venn_Diagram_Template_Three_Circle_80f32f5e__docx	1	0	1737	-1737
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010__docx	1	2922	3440	-519
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb__docx	1	4243	4023	220
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1__docx	1	6910	7139	-230
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0__docx	1	3979	4258	-280
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c__docx	1	5123	5123	0
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0__docx	1	445	2163	-1718
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e__docx	1	6173	6172	1
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee__docx	1	197	1687	-1489
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f__docx	1	4660	4659	1
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744__docx	1	666	2248	-1582
051_Organogram_Template_Basic_Theme_e6464d06__docx	1	343	5521	-5178
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe__docx	1	2460	3582	-1122
053_Organogram_Template_Creative_Theme_21657a3d__docx	1	244	244	0
054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8__docx	1	678	3595	-2918
055_Organogram_Template_Horizontal_Structure_28a7e725__docx	1	2206	6283	-4077
056_Organogram_Template_Square_Theme_38f373d4__docx	1	561	561	-0
057_Organogram_Template_Vertical_Colorful_Theme_724b143c__docx	1	486	5519	-5032
058_Organogram_Template_With_Picture_Theme_44b79368__docx	1	808	4218	-3411
059_Disease_Concept_Map_Template_4acf63f2__docx	1	483	8274	-7791
060_Human_Body_Concept_Map_Template_ac872cfb__docx	1	0	1686	-1686
061_Nursing_Concept_Map_Template_fb9816f0__docx	1	2995	2995	-1
062_Vocabulary_Concept_Map_Template_2f7c1c09__docx	1	226	226	0
063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992__docx	1	0	0	0
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06__docx	1	720	2475	-1755
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62__docx	1	1698	6023	-4325
066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248__docx	1	601	11712	-11111
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b__docx	1	2466	8119	-5653
068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8__docx	1	646	12776	-12129
069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1__docx	1	1313	7269	-5956
07-04__doc	3	6486	6560	-75
070_Storyboard_Template_Blank_Format_fc41673a__docx	1	1496	1496	-0
071_Storyboard_Template_Cartoon_Theme_ae113de2__docx	1	0	0	0
072_Storyboard_Template_Colored_Theme_28524a15__docx	1	0	0	0
073_Storyboard_Template_Easy_to_Use_44ce05fc__docx	1	6907	6158	749
074_Storyboard_Template_Editable_Design_132436d1__docx	1	1142	1142	0
075_Storyboard_Template_Fillable_Format_7fa01641__docx	1	0	2840	-2840
076_Storyboard_Template_Gray_Theme_1e5fd5e5__docx	1	0	0	0
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab__docx	1	0	0	0
