identity	toc_pages	ours_toc_pt	ref_toc_pt	ours_other_median	ref_other_median
02_mcar_part-2_and_IS_v2.10__docx	8	7488	7487	936	936
03_Technical_Report_(progress)_template__docx	1	0	0	7225	7225
091_Business_Case_Template_Complete_Guide_cb91a140__docx	1	0	0	0	0
092_Business_Case_Template_Convenient_Format_00786cce__docx	1	1095	1094	5014	5014
100_Business_Case_Template_Modern_Format_ff9e7282__docx	1	1095	1094	3868	3868
150-5370-10H__docx	3	1404	1404	936	936
150_5300_13_chg10__doc	3	0	38	524	649
150_5335_5a__doc	3	29251	0	0	267
231164_SystemDesignDocument__docx	2	1872	1872	1368	1404
24-25_FAA_Holdover_Tables__docx	3	0	4863	6764	8121
33004__docx	1	468	936	1851	2319
361400CSLegislation1RF01PUBLIC1__doc	1	4960	146	146	146
5709.16 ch.40_mgfinal__docx	2	1907	1907	954	953
A320SimNotes__doc	2	1698	1698	1910	1910
ABCD-FE-01-00 Flight Envelope - v1 08.03.16__docx	1	510	1104	5630	3560
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	1	510	1104	6171	6766
AC-150-5370-10G-updated-201604__docx	2	1872	1872	936	936
Agile_Arc_SysDes__docx	2	1987	1987	936	936
B11. TE.CAO.00129  Experience  logbook__docx	1	1780	1771	8142	8203
DOA_Template_Form_Type_Certification_Programme__docx	1	1758	1759	1794	4493
EHEST-SMS-Safety-Management-Manual-V2__docx	1	0	0	707	575
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx	2	3136	3135	3014	1568
ESPN-R - MCF - RA - Ed1__docx	1	1552	1552	5856	5855
FAA 2025-26 Holdover Tables__docx	3	0	2980	6472	7829
FG-AI4NDM-TR-skeleton_template__docx	1	0	0	214	213
FRE-03_mcar_part-3_and_IS_v2.9__docx	2	1872	1872	936	936
OM template for non-complex NCC operators_August 2016__docx	8	8017	8017	1002	1002
PES-Technical-Report-Template_Jan_2019__docx	1	432	432	0	0
SPA-02_mcar_part-2_and_IS_v2.9__docx	10	9360	9359	936	936
SPA-06_mcar_part-6_and_IS_v2.9__docx	2	1872	1872	936	936
SPA-11_mcar_part-11_v2.9__docx	3	2808	2808	936	936
SWDD-template__docx	1	463	462	463	462
Sample_SQMS_Program__docx	2	0	0	220	220
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	1	1798	1789	13242	13982
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx	1	0	0	0	0
UG.CAO.00133 Foreign Part 145 approvals - Language__docx	1	0	0	628	628
absrc-pac-01-info-note-en__doc	1	1911	2458	870	845
airbus-pdf-information-package_v1-4__docx	1	4731	5200	8800	8449
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx	1	1729	1720	8974	9034
bulletin__docx	1	0	0	1749	1095
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx	2	2045	2049	1322	1396
dragon1-enterprise-architecture-document-example-v0.1d__docx	1	0	0	0	0
final-technical-report-template__docx	1	0	0	0	0
hdss-bulletin-issue-285-25-june-2025__docx	1	0	0	1435	804
report-template__docx	1	0	0	0	0
system_design__technical_architecture_template__docx	2	1940	1940	3765	3818
t_TEMPforInvProgs__docx	3	6683	2808	1454	936
technical report template__docx	1	0	0	0	0
technical-architecture__docx	1	0	0	0	40
tibs_guidelines_2__docx	1	0	0	595	1127
