direct	styled	document	styles
87	87	SPA-11_mcar_part-11_v2.9.docx	faa_is heading;heading 2;heading 3;heading 4;heading_sectionstart
18	268	OM template for non-complex NCC operators_August 2016.docx	heading 0;heading 1;heading 2;heading 3
9	134	24-25_FAA_Holdover_Tables.docx	adjusted heading 2;adjusted heading 3;afs toc 1;heading 2;heading 3
9	20	hdss-bulletin-issue-285-25-june-2025.docx	heading 1;heading 2
8	146	FAA 2025-26 Holdover Tables.docx	adjusted heading 2;adjusted heading 3;afs toc 1;heading 2;heading 3
2	7	SPA-06_mcar_part-6_and_IS_v2.9.docx	faa_is heading;heading 2;heading_sectionstart
1	18	report-template.docx	heading 2;heading 3;heading 4;heading 5;heading 6;heading 7;heading 8;heading 9;style heading 1 + left:  0
0	74	5709.16 ch.40_mgfinal.docx	fsm heading 1;fsm heading 2;fsm heading 3;fsm heading 4
0	62	231164_SystemDesignDocument.docx	appendix;back matter heading;caption;esheading 1;esheading 2;esheading 3;fc;figurecaption;heading 2;heading 3;heading 4;tablecaption
0	38	EHEST-SMS-Safety-Management-Manual-V2.docx	heading 1;heading 2;heading 3;heading 4;heading 5;heading 6
0	5	PES-Technical-Report-Template_Jan_2019.docx	heading 3;heading a3
0	4	t_TEMPforInvProgs.docx	figurecaption;table heading
0	4	FG-AI4NDM-TR-skeleton_template.docx	annex_no & title;annex_notitle;appendix_no & title;appendix_notitle;figure_no & title;table_no & title
0	0	airbus-pdf-information-package_v1-4.docx	titelüberschrift
0	0	UG.CAO.00133 Foreign Part 145 approvals - Language.docx	header appendices;header chapter 1;header chapter 2;header chapter 3;header chapter 4;header section 0;part header
0	0	UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders.docx	header appendices;header chapter 1;header chapter 2;header chapter 3;header chapter 4;header section 0;part header
0	0	SPA-02_mcar_part-2_and_IS_v2.9.docx	faa_is heading;heading_sectionstart
0	0	FRE-03_mcar_part-3_and_IS_v2.9.docx	faa_is heading;heading_sectionstart
0	0	02_mcar_part-2_and_IS_v2.10.docx	faa_is heading;heading_sectionstart
# docx scanned: 272
# with any TOC field: 50
# with a TOC \t template: 19
# of those, holding a paragraph the reference would strip: 7
