ident	page	band_y	gap_x0	gap_x1	gap_pt	left_x0	left_x1	right_x0	right_x1	our_kind	ref_x0	ref_x1	ref_y	ref_kind
review-welsh-government-communications-mister-peter-mandelson__docx	6	72.00	129.02	296.92	167.90	60.08	129.02	296.92	535.22	stroke	60.15	535.25	72.25	stroke
review-welsh-government-communications-mister-peter-mandelson__docx	7	72.00	129.02	296.92	167.90	60.08	129.02	296.92	535.22	stroke	60.15	535.25	72.25	stroke
review-welsh-government-communications-mister-peter-mandelson__docx	8	72.00	129.02	296.92	167.90	60.08	129.02	296.92	535.22	stroke	60.15	535.25	72.25	stroke
review-welsh-government-communications-mister-peter-mandelson__docx	10	72.25	129.02	296.92	167.90	60.08	129.02	296.92	535.22	stroke	60.15	535.25	72.25	stroke
review-welsh-government-communications-mister-peter-mandelson__docx	10	721.60	129.02	296.92	167.90	60.58	129.02	296.92	534.72	stroke	60.65	534.75	721.85	stroke
review-welsh-government-communications-mister-peter-mandelson__docx	11	72.00	129.02	296.92	167.90	60.08	129.02	296.92	535.22	stroke	60.15	535.25	72.25	stroke
review-welsh-government-communications-mister-peter-mandelson__docx	12	72.25	129.02	296.92	167.90	60.08	129.02	296.92	535.22	stroke	60.15	535.25	72.25	stroke
review-welsh-government-communications-mister-peter-mandelson__docx	13	72.00	129.02	296.92	167.90	60.08	129.02	296.92	535.22	stroke	60.15	535.25	72.25	stroke
review-welsh-government-communications-mister-peter-mandelson__docx	14	72.00	129.02	296.92	167.90	60.08	129.02	296.92	535.22	stroke	60.15	535.25	72.25	stroke
195584360__docx	9	220.35	230.33	321.97	91.65	109.79	230.33	321.97	432.53	fill	64.80	568.75	222.25	stroke
150_5335_5a__doc	22	380.32	307.27	344.28	37.02	103.72	307.27	344.28	547.85	stroke	304.70	508.25	380.35	stroke
150_5335_5a__doc	28	577.38	360.77	426.08	65.30	281.17	360.77	426.08	500.02	stroke	112.70	459.70	576.75	stroke
150_5335_5a__doc	30	278.88	360.70	422.25	61.55	303.10	360.70	422.25	495.75	stroke	41.40	545.40	278.75	stroke
150_5335_5a__doc	39	278.88	221.82	488.02	266.20	165.93	221.82	488.02	562.88	stroke	89.50	562.10	278.75	stroke
150_5335_5a__doc	57	306.48	246.45	478.95	232.50	172.95	246.45	478.95	556.05	stroke	96.30	555.30	306.35	stroke
1_tpr_template__from_fy14___docx	8	403.25	652.97	693.38	40.41	613.66	652.97	693.38	749.02	stroke	60.05	759.55	403.45	stroke
1_tpr_template__from_fy14___docx	8	425.25	136.54	161.12	24.57	89.75	136.54	161.12	166.95	stroke	84.50	161.70	426.15	stroke
1_tpr_template__from_fy14___docx	8	231.75	394.57	425.07	30.50	333.78	394.57	425.07	435.02	stroke	328.50	429.75	231.70	stroke
1_tpr_template__from_fy14___docx	8	248.55	121.28	151.78	30.50	111.46	121.28	151.78	212.44	stroke	106.20	207.20	248.50	stroke
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	3	464.17	345.60	359.30	13.70	56.70	345.60	359.30	818.20	stroke	56.25	359.85	465.35	stroke
template---tpr-technical-progress-report-with-guidance__docx	6	382.90	632.89	654.08	21.19	593.15	632.89	654.08	658.50	stroke	618.70	658.45	383.40	stroke
template---tpr-technical-progress-report-with-guidance__docx	6	429.00	102.62	135.21	32.59	87.13	102.62	135.21	205.02	stroke	66.75	668.45	429.25	stroke
