identity	npages	ref_bridges	ref_bridge_pt	ref_bridge_pages	ours_bridges	ours_bridge_pt	ours_bridge_pages	worst_page
150_5300_13_chg10__doc	77	3	145	3	17	681	5	72
150_5335_5a__doc	64	5	663	5	4	602	4	39
195584360__docx	20	1	92	1	0	0	0	9
1_tpr_template__from_fy14___docx	8	4	126	1	3	82	1	8
237287_0486190101_0486190101_geolink2neu__doc	8	0	0	0	8	869	8	0
ABCD-FE-01-00 Flight Envelope - v1 08.03.16__docx	14	0	0	0	1	67	1	0
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	29	0	0	0	1	90	1	0
ESPN-R - MCF - RA - Ed1__docx	58	0	0	0	9	666	8	0
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	15	1	14	1	1	123	1	3
template---tpr-technical-progress-report-with-guidance__docx	7	2	54	1	1	21	1	6
