page	table	row	col	x0	x1	y0	y1	top	bottom	left	right	firstRow	rowEnd	areaY	areaBottom
1	0	0	0	64.800	579.600	72.400	88.500	none	none	none	none	0	11	72.400	204.000
1	0	1	0	64.800	579.600	88.500	100.050	none	none	none	none	0	11	72.400	204.000
1	0	2	0	64.800	322.200	100.050	111.600	none	none	none	none	0	11	72.400	204.000
1	0	2	1	322.200	579.600	100.050	111.600	none	none	none	none	0	11	72.400	204.000
1	0	3	0	64.800	322.200	111.600	123.150	none	none	none	none	0	11	72.400	204.000
1	0	3	1	322.200	579.600	111.600	123.150	none	none	none	none	0	11	72.400	204.000
1	0	4	0	64.800	322.200	123.150	134.700	none	none	none	none	0	11	72.400	204.000
1	0	4	1	322.200	579.600	123.150	134.700	none	none	none	none	0	11	72.400	204.000
1	0	5	0	64.800	322.200	134.700	146.250	none	none	none	none	0	11	72.400	204.000
1	0	5	1	322.200	579.600	134.700	146.250	none	none	none	none	0	11	72.400	204.000
1	0	6	0	64.800	322.200	146.250	157.800	none	none	none	none	0	11	72.400	204.000
1	0	6	1	322.200	579.600	146.250	157.800	none	none	none	none	0	11	72.400	204.000
1	0	7	0	64.800	322.200	157.800	169.350	none	none	none	none	0	11	72.400	204.000
1	0	7	1	322.200	579.600	157.800	169.350	none	none	none	none	0	11	72.400	204.000
1	0	8	0	64.800	579.600	169.350	180.900	none	none	none	none	0	11	72.400	204.000
1	0	9	0	64.800	579.600	180.900	192.450	none	none	none	none	0	11	72.400	204.000
1	0	10	0	64.800	579.600	192.450	204.000	none	none	none	none	0	11	72.400	204.000
1	1	0	0	64.800	119.700	464.800	514.550	none	none	none	none	0	3	464.800	630.050
1	1	0	1	119.700	579.600	464.800	514.550	none	none	none	none	0	3	464.800	630.050
1	1	1	0	64.800	579.600	514.550	595.400	none	none	none	none	0	3	464.800	630.050
1	1	2	0	64.800	335.700	595.400	630.050	none	none	none	none	0	3	464.800	630.050
1	1	2	2	335.700	579.600	595.400	630.050	none	none	none	none	0	3	464.800	630.050
2	0	0	0	64.800	217.800	104.700	127.800	none	none	none	none	0	3	104.700	188.550
2	0	0	1	217.800	312.300	104.700	127.800	none	none	none	none	0	3	104.700	188.550
2	0	0	2	312.300	541.800	104.700	127.800	none	none	none	none	0	3	104.700	188.550
2	0	1	0	64.800	217.800	127.800	174.000	none	none	none	none	0	3	104.700	188.550
2	0	1	1	217.800	312.300	127.800	174.000	none	none	none	none	0	3	104.700	188.550
2	0	1	2	312.300	541.800	127.800	174.000	none	none	none	none	0	3	104.700	188.550
2	0	2	0	64.800	217.800	174.000	188.550	none	none	none	none	0	3	104.700	188.550
2	0	2	1	217.800	312.300	174.000	188.550	none	none	none	none	0	3	104.700	188.550
2	0	2	2	312.300	541.800	174.000	188.550	none	none	none	none	0	3	104.700	188.550
2	1	0	0	64.800	217.800	299.400	313.950	none	none	none	none	0	3	299.400	343.050
2	1	0	1	217.800	312.300	299.400	313.950	none	none	none	none	0	3	299.400	343.050
2	1	0	2	312.300	541.800	299.400	313.950	none	none	none	none	0	3	299.400	343.050
2	1	1	0	64.800	217.800	313.950	328.500	none	none	none	none	0	3	299.400	343.050
2	1	1	1	217.800	312.300	313.950	328.500	none	none	none	none	0	3	299.400	343.050
2	1	1	2	312.300	541.800	313.950	328.500	none	none	none	none	0	3	299.400	343.050
2	1	2	0	64.800	217.800	328.500	343.050	none	none	none	none	0	3	299.400	343.050
2	1	2	1	217.800	312.300	328.500	343.050	none	none	none	none	0	3	299.400	343.050
2	1	2	2	312.300	541.800	328.500	343.050	none	none	none	none	0	3	299.400	343.050
2	2	0	0	64.800	240.300	434.750	516.600	1.000	1.000	1.000	1.000	0	1	434.250	517.100
2	2	0	1	240.300	546.300	434.750	516.600	1.000	1.000	none	1.000	0	1	434.250	517.100
2	3	0	0	64.800	240.300	578.800	683.750	1.000	1.000	1.000	1.000	0	1	578.300	684.250
2	3	0	1	240.300	546.300	578.800	683.750	1.000	1.000	none	1.000	0	1	578.300	684.250
3	0	0	0	64.800	235.800	118.850	166.050	1.000	1.000	1.000	1.000	0	1	118.350	166.550
3	0	0	1	235.800	546.300	118.850	166.050	1.000	1.000	none	1.000	0	1	118.350	166.550
3	1	0	0	64.800	235.800	451.100	498.300	1.000	1.000	1.000	1.000	0	1	450.600	498.800
3	1	0	1	235.800	555.500	451.100	498.300	1.000	1.000	none	1.000	0	1	450.600	498.800
4	0	0	0	64.800	240.300	84.200	189.150	1.000	1.000	1.000	1.000	0	1	83.700	189.650
4	0	0	1	240.300	546.300	84.200	189.150	1.000	1.000	1.000	1.000	0	1	83.700	189.650
4	1	0	0	64.800	240.300	421.150	549.200	1.000	1.000	1.000	1.000	0	1	420.650	549.700
4	1	0	1	240.300	546.300	421.150	549.200	1.000	1.000	none	1.000	0	1	420.650	549.700
4	2	0	0	64.800	240.300	588.300	670.150	1.000	1.000	1.000	1.000	0	1	587.800	670.650
4	2	0	1	240.300	546.300	588.300	670.150	1.000	1.000	none	1.000	0	1	587.800	670.650
5	0	0	0	64.800	240.300	153.950	224.700	1.000	1.000	1.000	1.000	0	1	153.450	225.200
5	0	0	1	240.300	546.300	153.950	224.700	1.000	1.000	1.000	1.000	0	1	153.450	225.200
5	1	0	0	64.800	240.300	356.200	414.950	1.000	1.000	1.000	1.000	0	1	355.700	415.450
5	1	0	1	240.300	555.300	356.200	414.950	1.000	1.000	none	1.000	0	1	355.700	415.450
5	2	0	0	64.800	240.300	511.800	582.100	1.000	1.000	1.000	1.000	0	1	511.300	582.600
5	2	0	1	240.300	550.800	511.800	582.100	1.000	1.000	none	1.000	0	1	511.300	582.600
5	3	0	0	64.800	235.800	678.450	725.650	1.000	1.000	1.000	1.000	0	1	678.450	725.650
5	3	0	1	235.800	546.300	678.450	725.650	1.000	1.000	none	1.000	0	1	678.450	725.650
6	0	0	0	64.800	235.800	57.600	104.800	1.000	1.000	1.000	1.000	0	1	57.600	104.800
6	0	0	1	235.800	546.300	57.600	104.800	1.000	1.000	none	1.000	0	1	57.600	104.800
6	1	0	0	64.800	235.800	258.900	329.650	1.000	1.000	1.000	1.000	0	1	258.400	330.150
6	1	0	1	235.800	546.300	258.900	329.650	1.000	1.000	none	1.000	0	1	258.400	330.150
6	2	0	0	64.800	240.300	472.700	519.900	1.000	1.000	1.000	1.000	0	1	472.200	520.400
6	2	0	1	240.300	546.300	472.700	519.900	1.000	1.000	1.000	1.000	0	1	472.200	520.400
6	3	0	0	64.800	240.300	616.750	664.850	1.000	1.000	1.000	1.000	0	1	616.250	665.350
6	3	0	1	240.300	546.300	616.750	664.850	1.000	1.000	none	1.000	0	1	616.250	665.350
7	0	0	0	64.800	240.400	130.850	178.050	1.000	1.000	1.000	1.000	0	1	130.350	178.550
7	0	0	1	240.400	546.600	130.850	178.050	1.000	1.000	none	1.000	0	1	130.350	178.550
7	1	0	0	64.800	240.300	344.200	379.850	1.000	1.000	1.000	1.000	0	1	343.700	380.350
7	1	0	1	240.300	546.300	344.200	379.850	1.000	1.000	none	1.000	0	1	343.700	380.350
7	2	0	0	64.800	235.800	484.800	532.000	1.000	1.000	1.000	1.000	0	1	484.300	532.500
7	2	0	1	235.800	546.300	484.800	532.000	1.000	1.000	1.000	1.000	0	1	484.300	532.500
7	3	0	0	64.800	240.300	694.200	729.850	1.000	1.000	1.000	1.000	0	1	694.200	729.850
7	3	0	1	240.300	546.300	694.200	729.850	1.000	1.000	1.000	1.000	0	1	694.200	729.850
8	0	0	0	64.800	240.300	57.600	70.150	1.000	1.000	1.000	1.000	0	1	57.600	70.150
8	0	0	1	240.300	546.300	57.600	70.150	1.000	1.000	1.000	1.000	0	1	57.600	70.150
10	0	0	0	64.800	546.300	682.650	732.750	none	none	none	none	0	1	682.650	732.750
11	0	0	0	64.800	546.300	57.600	176.550	none	none	none	none	0	30	57.600	731.350
11	0	1	0	64.800	150.300	176.550	203.050	none	none	none	none	0	30	57.600	731.350
11	0	1	1	150.300	222.300	176.550	203.050	none	none	none	none	0	30	57.600	731.350
11	0	1	2	222.300	546.300	176.550	203.050	none	none	none	none	0	30	57.600	731.350
11	0	2	0	64.800	150.300	203.050	216.300	none	none	none	none	0	30	57.600	731.350
11	0	2	1	150.300	222.300	203.050	216.300	none	none	none	none	0	30	57.600	731.350
11	0	2	2	222.300	546.300	203.050	216.300	none	none	none	none	0	30	57.600	731.350
11	0	3	0	64.800	150.300	216.300	229.550	none	none	none	none	0	30	57.600	731.350
11	0	3	1	150.300	222.300	216.300	229.550	none	none	none	none	0	30	57.600	731.350
11	0	3	2	222.300	546.300	216.300	229.550	none	none	none	none	0	30	57.600	731.350
11	0	4	0	64.800	150.300	229.550	242.800	none	none	none	none	0	30	57.600	731.350
11	0	4	1	150.300	222.300	229.550	242.800	none	none	none	none	0	30	57.600	731.350
11	0	4	2	222.300	546.300	229.550	242.800	none	none	none	none	0	30	57.600	731.350
11	0	5	0	64.800	150.300	242.800	269.300	none	none	none	none	0	30	57.600	731.350
11	0	5	1	150.300	222.300	242.800	269.300	none	none	none	none	0	30	57.600	731.350
11	0	5	2	222.300	546.300	242.800	269.300	none	none	none	none	0	30	57.600	731.350
11	0	6	0	64.800	150.300	269.300	282.550	none	none	none	none	0	30	57.600	731.350
11	0	6	1	150.300	222.300	269.300	282.550	none	none	none	none	0	30	57.600	731.350
11	0	6	2	222.300	546.300	269.300	282.550	none	none	none	none	0	30	57.600	731.350
11	0	7	0	64.800	150.300	282.550	309.050	none	none	none	none	0	30	57.600	731.350
11	0	7	1	150.300	222.300	282.550	309.050	none	none	none	none	0	30	57.600	731.350
11	0	7	2	222.300	546.300	282.550	309.050	none	none	none	none	0	30	57.600	731.350
11	0	8	0	64.800	150.300	309.050	322.300	none	none	none	none	0	30	57.600	731.350
11	0	8	1	150.300	222.300	309.050	322.300	none	none	none	none	0	30	57.600	731.350
11	0	8	2	222.300	546.300	309.050	322.300	none	none	none	none	0	30	57.600	731.350
11	0	9	0	64.800	150.300	322.300	348.800	none	none	none	none	0	30	57.600	731.350
11	0	9	1	150.300	222.300	322.300	348.800	none	none	none	none	0	30	57.600	731.350
11	0	9	2	222.300	546.300	322.300	348.800	none	none	none	none	0	30	57.600	731.350
11	0	10	0	64.800	150.300	348.800	362.050	none	none	none	none	0	30	57.600	731.350
11	0	10	1	150.300	222.300	348.800	362.050	none	none	none	none	0	30	57.600	731.350
11	0	10	2	222.300	546.300	348.800	362.050	none	none	none	none	0	30	57.600	731.350
11	0	11	0	64.800	150.300	362.050	388.550	none	none	none	none	0	30	57.600	731.350
11	0	11	1	150.300	222.300	362.050	388.550	none	none	none	none	0	30	57.600	731.350
11	0	11	2	222.300	546.300	362.050	388.550	none	none	none	none	0	30	57.600	731.350
11	0	12	0	64.800	150.300	388.550	401.800	none	none	none	none	0	30	57.600	731.350
11	0	12	1	150.300	222.300	388.550	401.800	none	none	none	none	0	30	57.600	731.350
11	0	12	2	222.300	546.300	388.550	401.800	none	none	none	none	0	30	57.600	731.350
11	0	13	0	64.800	150.300	401.800	428.300	none	none	none	none	0	30	57.600	731.350
11	0	13	1	150.300	222.300	401.800	428.300	none	none	none	none	0	30	57.600	731.350
11	0	13	2	222.300	546.300	401.800	428.300	none	none	none	none	0	30	57.600	731.350
11	0	14	0	64.800	150.300	428.300	441.550	none	none	none	none	0	30	57.600	731.350
11	0	14	1	150.300	222.300	428.300	441.550	none	none	none	none	0	30	57.600	731.350
11	0	14	2	222.300	546.300	428.300	441.550	none	none	none	none	0	30	57.600	731.350
11	0	15	0	64.800	150.300	441.550	468.050	none	none	none	none	0	30	57.600	731.350
11	0	15	1	150.300	222.300	441.550	468.050	none	none	none	none	0	30	57.600	731.350
11	0	15	2	222.300	546.300	441.550	468.050	none	none	none	none	0	30	57.600	731.350
11	0	16	0	64.800	150.300	468.050	481.300	none	none	none	none	0	30	57.600	731.350
11	0	16	1	150.300	222.300	468.050	481.300	none	none	none	none	0	30	57.600	731.350
11	0	16	2	222.300	546.300	468.050	481.300	none	none	none	none	0	30	57.600	731.350
11	0	17	0	64.800	150.300	481.300	507.800	none	none	none	none	0	30	57.600	731.350
11	0	17	1	150.300	222.300	481.300	507.800	none	none	none	none	0	30	57.600	731.350
11	0	17	2	222.300	546.300	481.300	507.800	none	none	none	none	0	30	57.600	731.350
11	0	18	0	64.800	150.300	507.800	521.050	none	none	none	none	0	30	57.600	731.350
11	0	18	1	150.300	222.300	507.800	521.050	none	none	none	none	0	30	57.600	731.350
11	0	18	2	222.300	546.300	507.800	521.050	none	none	none	none	0	30	57.600	731.350
