page	table	row	col	x0	x1	y0	y1	top	bottom	left	right	firstRow	rowEnd	areaY	areaBottom
3	0	0	0	64.950	84.650	108.200	149.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	0	1	84.650	169.150	108.200	149.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	0	2	169.150	245.650	108.200	149.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	0	3	245.650	290.100	108.200	149.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	0	4	290.100	398.650	108.200	149.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	0	5	398.650	524.650	108.200	149.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	0	6	524.650	765.650	108.200	149.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	1	0	64.950	84.650	149.050	303.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	1	1	84.650	169.150	149.050	303.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	1	2	169.150	245.650	149.050	303.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	1	3	245.650	290.100	149.050	303.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	1	4	290.100	398.650	149.050	303.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	1	5	398.650	524.650	149.050	303.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	1	6	524.650	765.650	149.050	303.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	2	0	64.950	84.650	303.550	403.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	2	1	84.650	169.150	303.550	403.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	2	2	169.150	245.650	303.550	403.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	2	3	245.650	290.100	303.550	403.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	2	4	290.100	398.650	303.550	403.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	2	5	398.650	524.650	303.550	403.050	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	2	6	524.650	765.650	303.550	512.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	3	0	64.950	84.650	403.050	512.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	3	1	84.650	169.150	403.050	512.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	3	2	169.150	245.650	403.050	512.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	3	3	245.650	290.100	403.050	512.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	3	4	290.100	398.650	403.050	512.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
3	0	3	5	398.650	524.650	403.050	512.550	0.500	0.500	0.500	0.500	0	4	107.950	512.800
4	0	0	0	62.350	228.850	219.150	232.300	0.500	0.500	0.500	0.500	0	7	218.900	349.400
4	0	0	1	228.850	537.950	219.150	232.300	0.500	0.500	0.500	0.500	0	7	218.900	349.400
4	0	1	0	62.350	228.850	232.300	245.450	0.500	0.500	0.500	0.500	0	7	218.900	349.400
4	0	1	1	228.850	537.950	232.300	245.450	0.500	0.500	0.500	0.500	0	7	218.900	349.400
4	0	2	0	62.350	228.850	245.450	283.900	0.500	0.500	0.500	0.500	0	7	218.900	349.400
4	0	2	1	228.850	537.950	245.450	283.900	0.500	0.500	0.500	0.500	0	7	218.900	349.400
4	0	3	0	62.350	228.850	283.900	297.050	0.500	0.500	0.500	0.500	0	7	218.900	349.400
