page	table	row	col	x0	x1	y0	y1	top	bottom	left	right	firstRow	rowEnd	areaY	areaBottom
3	0	0	0	56.450	345.350	192.225	206.725	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	0	2	345.350	359.550	192.225	206.725	none	none	0.500	0.500	0	6	191.975	351.225
3	0	0	3	359.550	818.550	192.225	206.725	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	1	0	56.450	146.900	206.725	235.575	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	1	1	146.900	345.350	206.725	235.575	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	1	2	345.350	359.550	206.725	235.575	none	none	0.500	0.500	0	6	191.975	351.225
3	0	1	3	359.550	483.150	206.725	235.575	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	1	4	483.150	600.400	206.725	235.575	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	1	5	600.400	707.750	206.725	235.575	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	1	6	707.750	818.550	206.725	235.575	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	2	0	56.450	146.900	235.575	264.425	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	2	1	146.900	345.350	235.575	264.425	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	2	2	345.350	359.550	235.575	264.425	none	none	0.500	0.500	0	6	191.975	351.225
3	0	2	3	359.550	483.150	235.575	264.425	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	2	4	483.150	600.400	235.575	264.425	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	2	5	600.400	707.750	235.575	264.425	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	2	6	707.750	818.550	235.575	264.425	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	3	0	56.450	146.900	264.425	293.275	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	3	1	146.900	345.350	264.425	293.275	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	3	2	345.350	359.550	264.425	293.275	none	none	0.500	0.500	0	6	191.975	351.225
3	0	3	3	359.550	483.150	264.425	293.275	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	3	4	483.150	600.400	264.425	293.275	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	3	5	600.400	707.750	264.425	293.275	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	3	6	707.750	818.550	264.425	293.275	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	4	0	56.450	146.900	293.275	322.125	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	4	1	146.900	345.350	293.275	322.125	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	4	2	345.350	359.550	293.275	322.125	none	none	0.500	0.500	0	6	191.975	351.225
3	0	4	3	359.550	483.150	293.275	322.125	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	4	4	483.150	600.400	293.275	322.125	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	4	5	600.400	707.750	293.275	322.125	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	4	6	707.750	818.550	293.275	322.125	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	5	0	56.450	146.900	322.125	350.975	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	5	1	146.900	345.350	322.125	350.975	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	5	2	345.350	359.550	322.125	350.975	none	none	0.500	0.500	0	6	191.975	351.225
3	0	5	3	359.550	483.150	322.125	350.975	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	5	4	483.150	600.400	322.125	350.975	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	5	5	600.400	707.750	322.125	350.975	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	0	5	6	707.750	818.550	322.125	350.975	0.500	0.500	0.500	0.500	0	6	191.975	351.225
3	1	0	0	56.450	345.350	363.125	377.625	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	0	2	345.350	359.550	363.125	377.625	none	none	0.500	0.500	0	5	362.875	493.275
3	1	0	3	359.550	818.450	363.125	377.625	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	1	0	56.450	239.050	377.625	406.475	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	1	1	239.050	345.350	377.625	406.475	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	1	2	345.350	359.550	377.625	406.475	none	none	0.500	0.500	0	5	362.875	493.275
3	1	1	3	359.550	483.200	377.625	406.475	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	1	4	483.200	600.500	377.625	406.475	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	1	5	600.500	707.850	377.625	406.475	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	1	6	707.850	818.450	377.625	406.475	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	2	0	56.450	239.050	406.475	435.325	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	2	1	239.050	345.350	406.475	435.325	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	2	2	345.350	359.550	406.475	435.325	none	none	0.500	0.500	0	5	362.875	493.275
