page	table	row	col	x0	x1	y0	y1	top	bottom	left	right	firstRow	rowEnd	areaY	areaBottom
2	0	0	0	57.250	120.600	173.650	204.350	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	0	1	120.600	190.450	173.650	204.350	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	0	2	190.450	413.650	173.650	204.350	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	0	3	413.650	486.350	173.650	204.350	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	0	4	486.350	554.750	173.650	204.350	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	1	0	57.250	120.600	204.350	255.150	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	1	1	120.600	190.450	204.350	255.150	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	1	2	190.450	413.650	204.350	255.150	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	1	3	413.650	486.350	204.350	255.150	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	1	4	486.350	554.750	204.350	255.150	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	2	0	57.250	120.600	255.150	305.950	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	2	1	120.600	190.450	255.150	305.950	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	2	2	190.450	413.650	255.150	305.950	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	2	3	413.650	486.350	255.150	305.950	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	2	4	486.350	554.750	255.150	305.950	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	3	0	57.250	120.600	305.950	352.750	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	3	1	120.600	190.450	305.950	352.750	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	3	2	190.450	413.650	305.950	352.750	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	3	3	413.650	486.350	305.950	352.750	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	3	4	486.350	554.750	305.950	352.750	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	4	0	57.250	120.600	352.750	399.550	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	4	1	120.600	190.450	352.750	399.550	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	4	2	190.450	413.650	352.750	399.550	0.500	0.500	0.500	0.500	0	7	173.400	493.400
2	0	4	3	413.650	486.350	352.750	399.550	0.500	0.500	0.500	0.500	0	7	173.400	493.400
