arm	page	kind	y	x0	x1	thick
BB	1	cell	84.49	76.10	99.40	11.07	r0c0
BB	1	cell	84.49	196.10	219.40	11.07	r0c1
BB	1	cell	97.04	76.10	99.40	11.07	r1c0
BB	1	cell	97.04	196.10	219.05	11.07	r1c1
BN	1	cell	122.79	76.10	99.95	11.07	r0c0
BN	1	cell	122.79	196.10	219.95	11.07	r0c1
BN	1	cell	135.34	76.10	99.95	11.07	r1c0
BN	1	cell	135.34	196.10	219.60	11.07	r1c1
MIX	1	cell	317.29	76.10	105.49	11.07	r0c0
MIX	1	cell	317.29	196.10	225.49	11.07	r0c1
MIX	1	cell	329.84	76.10	105.49	11.07	r1c0
MIX	1	cell	329.84	196.10	225.14	11.07	r1c1
MIXN	1	cell	355.59	76.10	112.73	11.07	r0c0
MIXN	1	cell	355.59	196.10	232.73	11.07	r0c1
MIXN	1	cell	368.14	76.10	112.73	11.07	r1c0
MIXN	1	cell	368.14	196.10	232.33	11.07	r1c1
NN	1	cell	199.39	76.10	100.50	11.07	r0c0
NN	1	cell	199.39	196.10	220.50	11.07	r0c1
NN	1	cell	210.94	76.10	100.50	11.07	r1c0
NN	1	cell	210.94	196.10	220.15	11.07	r1c1
NT	1	cell	161.09	76.10	99.40	11.07	r0c0
NT	1	cell	161.09	196.10	219.40	11.07	r0c1
NT	1	cell	173.64	76.10	99.40	11.07	r1c0
NT	1	cell	173.64	196.10	219.05	11.07	r1c1
PBNIL	1	cell	393.89	76.10	114.94	11.07	r0c0
PBNIL	1	cell	393.89	196.10	234.94	11.07	r0c1
PBNIL	1	cell	406.44	76.10	114.94	11.07	r1c0
PBNIL	1	cell	406.44	196.10	234.59	11.07	r1c1
PBNIL	1	cell	418.99	76.10	114.94	11.07	r2c0
PBNIL	1	cell	418.99	196.10	234.94	11.07	r2c1
PBNIL	1	cell	431.54	76.10	114.94	11.07	r3c0
PBNIL	1	cell	431.54	196.10	234.94	11.07	r3c1
PBNIL	1	cell	444.09	76.10	114.94	11.07	r4c0
PBNIL	1	cell	444.09	196.10	234.94	11.07	r4c1
PBNIL	1	cell	456.64	76.10	114.94	11.07	r5c0
PBNIL	1	cell	456.64	196.10	234.94	11.07	r5c1
PBNIL	1	cell	469.19	76.10	114.94	11.07	r6c0
PBNIL	1	cell	469.19	196.10	234.94	11.07	r6c1
PBNIL	1	cell	481.74	76.10	114.94	11.07	r7c0
PBNIL	1	cell	481.74	196.10	234.94	11.07	r7c1
PBNIL	1	cell	494.29	76.10	114.94	11.07	r8c0
PBNIL	1	cell	494.29	196.10	234.94	11.07	r8c1
PBNIL	1	cell	506.84	76.10	114.94	11.07	r9c0
PBNIL	1	cell	506.84	196.10	234.94	11.07	r9c1
PBNIL	1	cell	519.39	76.10	119.94	11.07	r10c0
PBNIL	1	cell	519.39	196.10	239.94	11.07	r10c1
PBNIL	1	cell	531.94	76.10	119.59	11.07	r11c0
PBNIL	1	cell	531.94	196.10	239.19	11.07	r11c1
PBNIL	1	cell	544.49	76.10	119.94	11.07	r12c0
PBNIL	1	cell	544.49	196.10	239.94	11.07	r12c1
PBNIL	1	cell	557.04	76.10	119.94	11.07	r13c0
PBNIL	1	cell	557.04	196.10	239.94	11.07	r13c1
PBNIL	1	cell	569.59	76.10	119.94	11.07	r14c0
PBNIL	1	cell	569.59	196.10	239.94	11.07	r14c1
PBNIL	1	cell	582.14	76.10	119.94	11.07	r15c0
PBNIL	1	cell	582.14	196.10	239.94	11.07	r15c1
PBNIL	1	cell	594.69	76.10	119.94	11.07	r16c0
PBNIL	1	cell	594.69	196.10	239.94	11.07	r16c1
PBNIL	1	cell	607.24	76.10	119.94	11.07	r17c0
PBNIL	1	cell	607.24	196.10	239.94	11.07	r17c1
PBNIL	1	cell	619.79	76.10	119.94	11.07	r18c0
PBNIL	1	cell	619.79	196.10	239.94	11.07	r18c1
PBNIL	1	cell	632.34	76.10	119.94	11.07	r19c0
PBNIL	1	cell	632.34	196.10	239.94	11.07	r19c1
PBNIL	1	cell	644.89	76.10	119.94	11.07	r20c0
PBNIL	1	cell	644.89	196.10	239.94	11.07	r20c1
PBNIL	1	cell	657.44	76.10	119.94	11.07	r21c0
PBNIL	1	cell	657.44	196.10	239.59	11.07	r21c1
PBNIL	1	cell	669.99	76.10	119.94	11.07	r22c0
PBNIL	1	cell	669.99	196.10	239.94	11.07	r22c1
PBNIL	1	cell	682.54	76.10	119.94	11.07	r23c0
PBNIL	1	cell	682.54	196.10	239.94	11.07	r23c1
PBNIL	1	cell	695.09	76.10	119.94	11.07	r24c0
PBNIL	1	cell	695.09	196.10	239.94	11.07	r24c1
PBNIL	1	cell	707.64	76.10	119.94	11.07	r25c0
PBNIL	1	cell	707.64	196.10	239.94	11.07	r25c1
PBNIL	1	cell	720.19	76.10	119.94	11.07	r26c0
PBNIL	1	cell	720.19	196.10	239.94	11.07	r26c1
PBNIL	1	cell	732.74	76.10	119.94	11.07	r27c0
PBNIL	1	cell	732.74	196.10	239.94	11.07	r27c1
PBNIL	1	cell	745.29	76.10	119.94	11.07	r28c0
PBNIL	1	cell	745.29	196.10	239.94	11.07	r28c1
PBNIL	1	cell	757.84	76.10	119.94	11.07	r29c0
PBNIL	1	cell	757.84	196.10	239.94	11.07	r29c1
WB	1	cell	236.69	76.10	102.19	11.07	r0c0
WB	1	cell	236.69	196.10	222.19	11.07	r0c1
WB	1	cell	251.24	76.10	102.19	11.07	r1c0
WB	1	cell	251.24	196.10	221.79	11.07	r1c1
WT	1	cell	276.99	76.10	101.60	11.07	r0c0
WT	1	cell	276.99	196.10	221.60	11.07	r0c1
WT	1	cell	291.54	76.10	101.60	11.07	r1c0
WT	1	cell	291.54	196.10	221.25	11.07	r1c1
BB	1	line	83.60	70.35	310.85	1.000
BB	1	line	96.10	70.85	310.35	1.000
BB	1	line	108.70	70.35	310.85	1.000
BB	1	line	121.90	70.35	310.85	1.000
BB	1	line	134.40	70.85	310.35	1.000
BB	1	line	147.00	70.35	310.85	1.000
BN	1	line	160.20	70.35	310.85	1.000
BN	1	line	172.70	70.85	310.35	1.000
BN	1	line	185.30	70.35	310.85	1.000
NT	1	line	198.50	70.35	310.85	1.000
NT	1	line	222.60	70.35	310.85	1.000
NN	1	line	235.80	70.35	310.85	1.000
NN	1	line	249.30	70.85	310.35	3.000
WB	1	line	262.90	70.35	310.85	1.000
WB	1	line	276.10	70.35	310.85	1.000
WB	1	line	289.60	70.85	310.35	3.000
WT	1	line	303.20	70.35	310.85	1.000
WT	1	line	316.40	70.35	310.85	1.000
WT	1	line	328.90	70.85	310.35	1.000
WT	1	line	341.50	70.35	310.85	1.000
MIX	1	line	354.70	70.35	310.85	1.000
MIX	1	line	367.20	190.35	310.35	1.000
MIX	1	line	379.80	70.35	310.85	1.000
MIXN	1	line	393.00	70.35	310.85	1.000
MIXN	1	line	405.50	70.85	310.35	1.000
MIXN	1	line	418.10	70.85	310.35	1.000
PBNIL	1	line	430.60	70.85	310.35	1.000
PBNIL	1	line	443.20	70.85	310.35	1.000
PBNIL	1	line	455.70	70.85	310.35	1.000
PBNIL	1	line	468.30	70.85	310.35	1.000
PBNIL	1	line	480.80	70.85	310.35	1.000
PBNIL	1	line	493.40	70.85	310.35	1.000
PBNIL	1	line	505.90	70.85	310.35	1.000
PBNIL	1	line	518.50	70.85	310.35	1.000
PBNIL	1	line	531.00	70.85	310.35	1.000
