document	chpx_toggle_istd	chars_istd	chpx_disagree	chars_disagree	chpx_toggle_no_istd	chars_no_istd	chpx_styletoggle	chpx_styletoggle_disagree
FAA-2013-0422-0009_attachment_1.doc	0	0	0	0	0	0	0	0
GLACIERBG.ETT.doc	0	0	0	0	1	524	0	0
advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	0	0	0	0	30	255	0	0
LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	5	87	0	0	266	1531	0	0
foca_form_1.doc	0	0	0	0	9	212	0	0
FMRBullletinB-28.doc	0	0	0	0	5	74	0	0
Bull01-06-Reserve Training Standards.doc	0	0	0	0	24	486	0	0
prison-population-bulletin-june.doc	0	0	0	0	75	702	0	0
10795.doc	0	0	0	0	34	422	4	0
Temp16.doc	0	0	0	0	12	1038	0	0
II.1.2_Hypoxia.doc	0	0	0	0	1	13	0	0
96-3-clement-data.doc	0	0	0	0	10	278	0	0
DEP2008-1900.doc	0	0	0	0	23	459	0	0
07-04.doc	0	0	0	0	13	329	0	0
2ca950374241722b8ea7c132dfce63ae.doc	0	0	0	0	43	2957	0	0
opic 5--Case Studies Movie and Aviation Industries.doc	0	0	0	0	61	1688	0	0
RobertQ_Service.doc	0	0	0	0	9	187	0	0
316r_a_f.doc	0	0	0	0	31	650	0	0
316r_a_e.doc	0	0	0	0	26	550	0	0
Theft-Restitution-Letter-Vancouver-ASC-2005.doc	0	0	0	0	5	102	0	0
loi_format_letter_of_intent-a-320-214-a330.doc	0	0	0	0	60	2608	0	0
LHD-230-application-for-the-approval-of-an-aircraftr.doc	0	0	0	0	192	2937	0	0
003.doc	5	152	0	0	27	1494	2	0
P200904290238_0238_51880.doc	0	0	0	0	11	208	0	0
1244277 1 Comment.doc	0	0	0	0	17	598	0	0
Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	0	0	0	0	210	3279	0	0
RNW167A-150428.doc	0	0	0	0	230	757	0	0
congregationalhistories_ky_2023.doc	0	0	0	0	2	2	0	0
chapter 12.doc	0	0	0	0	14	286	0	0
2024-2nd-quarter-case-summaries.doc	0	0	0	0	77	1422	0	0
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	0	0	0	0	68	777	0	0
1245685 1 Comment.doc	0	0	0	0	6	595	0	0
FlightLaws.doc	0	0	0	0	25	1515	0	0
2013-op12-Annex III - Curriculum Vitae.doc	0	0	0	0	72	1166	0	0
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	0	0	0	0	17	382	0	0
A380MaenPressRel.doc	0	0	0	0	54	2285	0	0
237287_0486190101_0486190101_geolink2neu.doc	1	21	0	0	16	782	0	0
CP-ETSO template_v2020.DOC	0	0	0	0	80	636	0	0
361400CSLegislation1RF01PUBLIC1.doc	4	4	4	4	94	16956	0	0
f111.doc	11	224	0	0	161	2401	14	0
1528364855.doc	0	0	0	0	252	1169	0	0
135.doc	35	1053	0	0	433	6675	0	0
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.doc	0	0	0	0	228	4576	0	0
AirbusCallouts.doc	0	0	0	0	1149	12772	0	0
RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	1	18	0	0	56	928	0	0
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	0	0	0	0	65	700	0	0
1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	0	0	0	0	8	105	0	0
omrIMInterpretiveGuideLine.doc	0	0	0	0	14	346	0	0
Reid.doc	1	17	0	0	20	559	0	0
644730BRI0mna000BOX361539B00public0.doc	1	1	0	0	137	2584	0	0
PK_FlugzeugeStricken.doc	2	29	0	0	174	3504	0	0
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	0	0	0	0	26	946	0	0
SFSP_2013-02_Bulletin.doc	0	0	0	0	86	1828	0	0
2013_11.doc	1	80	0	0	134	1948	4	0
120509coss.doc	0	0	0	0	168	3840	13	0
150_5335_5a.doc	506	5105	468	3661	851	5271	0	0
info-bulletin-601.doc	0	0	0	0	140	2609	2	0
762.doc	4	24	0	0	411	5277	0	0
手机免提系统TSB.doc	0	0	0	0	49	728	0	0
A320SimNotes.doc	0	0	0	0	671	15749	0	0
1447.doc	0	0	0	0	10	424	0	0
absrc-pac-01-info-note-en.doc	2	6	0	0	81	760	2	0
A_320.doc	0	0	0	0	1885	11615	0	0
150_5300_13_chg12.doc	0	0	0	0	828	9947	0	0
150_5300_13_chg8.doc	0	0	0	0	1066	8394	0	0
150_5300_13_chg10.doc	1	1	0	0	1751	19312	0	0
